,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Сыр Сулугуни,20.0,24.0,0.0,290
1,,Сыр Сыробогатов лёгкий 25%,33.0,13.0,0.0,254
2,,Сыр сычужный,22.0,23.4,0.0,305
3,,Сыр Творожный ломтик с прованскими травами,12.7,30.0,1.4,327
4,,Сыр Тильзитер,27.8,25.0,0.1,334
5,,Сыр Тысяча Озёр лёгкий 15%,31.0,15.0,0.0,268
6,,Сыр Угличский,25.8,26.3,0.0,347
7,,Сыр Фавита,14.0,12.0,3.0,176
8,,Сыр Фермерский,18.5,14.1,1.5,207
9,,Сыр Фета,17.0,24.0,0.0,290
10,,Сыр Филадельфия,5.4,24.0,3.2,253
11,,Сыр Фонтина,25.6,31.1,1.6,389
12,,Сыр Холлендер,28.0,17.0,0.1,265
13,,Сыр Чанах,19.5,22.0,0.0,285
14,,Сыр Чеддер,23.0,32.0,0.0,392
15,,Сыр Чечил,19.5,22.8,1.9,313
16,,Сыр Чечил рассольный копчёный,19.5,26.0,2.2,320
17,,Сыр Швейцарский,24.9,31.8,0.0,396
18,,Сыр Эдам,24.0,26.0,0.0,330
19,,Сыр Эдам копчёный,24.8,25.0,0.0,334
20,,Сыр Эмменталь,28.8,29.7,0.1,380
21,,Сыр Эстонский,26.0,26.5,3.5,356
22,,Сыр Янтарный плавленый,7.0,27.3,4.0,289
23,,Сыр Ярлсберг,28.0,28.0,0.0,364
24,,Сыр Ярлсберг Лайт,31.0,16.0,0.0,268
25,,Сыр Ярославский,26.2,26.6,0.0,350
26,,Сырник творожный,18.6,3.6,18.2,183
27,,Сырный продукт Hochland Фетакса плавленый,8.0,25.0,1.0,261
28,,Сырный продукт Парижская буренка,7.2,22.0,2.0,232
29,,Сырок Б.Ю.Александров 5% в тёмном шоколаде,13.5,12.9,29.0,286
30,,Сырок Б.Ю.Александров в молочном шоколаде,8.4,28.2,30.7,410
31,,Сырок Б.Ю.Александров в тёмном шоколаде,8.6,30.8,27.0,419
32,,Сырок Б.Ю.Александров с ванилью,2.8,6.5,10.5,242
33,,Сырок глазированный,8.5,27.8,32.0,407
34,,Сырок глазированный Картошка,7.0,23.4,47.6,417
35,,Сырок глазированный с начинкой,9.5,21.3,36.0,374
36,,Творог 0% (обезжиренный),16.5,0.0,1.3,71
37,,Творог 0% Лосево,18.0,0.0,3.3,85
38,,Творог 0.1%,16.7,0.1,2.0,76
39,,Творог 0.2%,18.0,0.2,1.8,81
40,,Творог 0.3%,18.0,0.3,3.3,90
41,,Творог 0.6% (маложирный),18.0,0.6,1.8,88
42,,Творог 1%,16.3,1.0,1.3,79
43,,Творог 1.8% (нежирный),18.0,1.8,3.3,101
44,,Творог 11%,16.0,11.0,1.0,170
45,,Творог 18% (жирный),14.0,18.0,2.8,232
46,,Творог 2%,18.0,2.0,3.3,103
47,,Творог 4%,15.7,4.0,1.4,104
48,,Творог 5%,17.2,5.0,1.8,121
49,,Творог 8%,15.0,8.0,1.5,138
50,,Творог 9% (полужирный),16.7,9.0,2.0,159
51,,Творог Arla Keso зернистый,11.0,1.5,2.5,70
52,,Творог Danone 0% мягкий,10.9,0.1,4.0,61
53,,Творог Danone 5% мягкий,8.8,5.0,4.2,97
54,,Творог President 9% Рассыпчатый,9.0,16.0,2.0,153
55,,Творог Valio 0.3%,11.0,0.3,4.2,65
56,,Творог альбуминовый,11.0,0.0,2.0,52
57,,Творог Благода 1.8% обезжиренный,16.0,1.8,3.3,93
58,,Творог Благода 12% Крестьянский,14.0,12.0,2.0,175
59,,Творог Благода 7.5% низкокалорийный,16.0,7.5,3.0,144
60,,Творог Брест-Литовск 3% Классический,16.7,3.0,1.4,97
61,,Творог домашний (из молока 1%),17.6,6.4,11.3,166
62,,Творог Домик в деревне 0.1%,10.0,0.1,3.5,55
63,,Творог Домик в деревне 0.2%,18.0,0.2,1.8,81
64,,Творог Домик в деревне 9%,16.0,9.0,2.0,153
65,,Творог зерненый Сыр Домашний,14.0,4.0,2.0,100
66,,Творог Избёнка (ВкусВилл) рассыпчатый 1%,18.0,1.0,2.0,89
67,,Творог Ласковое лето 3% зерненый,15.1,3.0,2.2,96
68,,Творог Милава 4% мягкий,11.2,4.0,1.3,85
69,,Творог Милава 9% натуральный,15.0,9.0,1.5,147
70,,Творог мягкий нежный обезжиренный,7.0,0.0,1.0,32
71,,Творог Останкинский обезжиренный,13.5,0.1,3.3,68
72,,Творог Пискарёвский 5%,16.0,5.0,3.0,121
73,,Творог Простоквашино 0% мягкий,12.0,0.1,3.5,63
74,,Творог Простоквашино 2% нежирный,18.0,2.0,3.3,103
75,,Творог Простоквашино 5% зерненый,12.7,5.0,2.4,105
76,,Творог Простоквашино 5% зерненый с клубникой,10.3,5.0,12.5,127
77,,Творог Простоквашино 5% зерненый с малиной,10.3,4.0,12.2,126
78,,Творог Простоквашино 5% зерненый с персиком,10.3,4.0,13.1,130
79,,Творог Простоквашино 5% зерненый с черникой,10.3,4.0,13.1,127
