,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Тунец копченый,24.4,4.6,0.0,139
1,,Тунец свежий,23.0,1.0,,101
2,,Тунец соленый,24.5,4.5,0.0,139
3,,Тюлька,17.5,2.0,0.0,88
4,,Тюлька соленая,19.2,12.6,0.0,191
5,,Тюрбо,18.2,1.3,0.0,85
6,,Угорь копчёный,17.9,28.6,,326
7,,Угорь морской свежий,19.1,1.9,,93
8,,Угорь свежий,14.5,30.5,,332
9,,Удильщик,14.8,1.0,0.0,68
10,,Устрицы отварные,14.0,3.0,,95
11,,Устрицы свежие,14.0,6.0,0.3,95
12,,Форель,19.2,2.1,,97
13,,Форель в масле Делси,22.0,15.0,,223
14,,Форель консервированная,18.0,10.0,0.0,162
15,,Форель копчёная,26.0,3.1,0.5,132
16,,Форель морская свежая,20.5,4.3,,157
17,,Форель отварная,15.5,3.0,,89
18,,Форель радужная,20.5,3.5,0.0,119
19,,Форель слабосолёная,20.6,10.1,,186
20,,Форель слабосолёная жирная,23.0,15.0,,227
21,,Фугу,16.4,1.6,0.0,108
22,,Хамса соленая,21.2,9.0,,166
23,,Хариус,17.5,2.0,0.0,88
24,,Хек (филе),16.5,1.8,0.0,82
25,,Хек жареный,14.3,3.9,2.5,105
26,,Хек отварной,18.5,2.3,0.0,95
27,,Хек свежий,16.6,2.2,0.0,86
28,,Хоки,19.2,0.3,0.1,75
29,,Хоккигай,16.7,1.1,0.0,77
30,,Чавыча,19.1,8.0,0.0,148
31,,Чехонь,17.5,2.0,0.0,88
32,,Чир (щокур),17.5,2.0,0.0,88
33,,Чукучан,16.7,2.3,0.0,92
34,,Шемая,17.5,2.0,0.0,88
35,,Шип,16.4,10.9,0.0,164
36,,Шпротный паштет,12.0,14.0,5.3,195
37,,Шпроты,17.4,32.4,0.4,363
38,,Щука в томатном соусе,14.2,4.0,3.6,108
39,,Щука маринованная,10.5,0.0,1.4,55
40,,Щука отварная,21.3,1.3,,98
41,,Щука припущенная,19.6,1.2,,90
42,,Щука свежая,18.4,0.8,,82
43,,Щука фаршированная,13.3,6.0,8.4,141
44,,Юкола,25.0,5.0,0.0,145
45,,Ябби,16.0,0.9,0.0,77
46,,Язык морской,10.3,5.2,,88
47,,Язык морской жареный,20.0,30.3,4.2,369
48,,Язь свежий,18.2,1.0,,81
