name,protein,fats,carbs,calories
Салат Витаминный готовый,1.4,13.4,5.8,146
Салат Вкус Италии готовый,11.8,11.0,1.5,153
Салат Воскресенский готовый,1.1,10.1,4.6,114
Салат Восторг готовый,4.6,17.2,8.3,205
Салат Грибной готовый,3.2,13.9,4.4,156
Салат Дальневосточный готовый,0.6,3.1,7.3,59
Салат Дары Сибири готовый,1.3,3.6,5.7,59
Салат Дарьюшка из морской капусты готовый,5.5,20.0,8.0,320
Салат Жемчужина готовый,2.9,7.1,7.0,103
Салат из корейской спаржи готовый,1.2,14.3,3.0,114
Салат из морских водорослей Чука,2.0,6.0,14.0,120
Салат из морской капусты Диетический с крабовыми палочками,6.0,3.0,2.0,84
Салат из морской капусты с зелёным горошком готовый,4.0,5.4,0.0,59
Салат из морской капусты с луком и пряностями,0.0,18.3,0.3,176
Салат из морской капусты с майонезом и ткемалевым соусом готовый,4.0,5.4,0.0,59
Салат из цветной капусты готовый,2.0,2.5,4.5,47
Салат Испанский готовый,12.3,24.5,1.9,288
Салат Итальянский с ветчиной готовый,9.5,14.6,31.7,288
Салат Кальмары готовый,7.6,15.4,18.7,240
Салат Кальмары фаршированные готовый,10.2,16.2,11.8,234
Салат Камчатский готовый,8.1,1.7,6.1,73
Салат Катюша готовый,1.6,7.0,5.5,90
Салат кочанный,0.9,0.1,1.8,14
Салат Крабовые палочки готовый,6.6,14.8,13.7,217
Салат Крабовый готовый,9.2,7.4,5.9,128
Салат Красная шапочка готовый,7.7,25.6,5.8,288
Салат Курочка-ряба готовый,11.4,22.4,3.9,261
Салат Лолло Росса,1.5,0.2,2.0,16
Салат Лосось готовый,8.3,14.2,17.7,275
Салат Маяк готовый,9.6,24.0,2.6,262
Салат Микс Бургер Кинг,1.3,0.2,4.0,23
Салат Мимоза готовый,5.7,14.8,7.2,183
Салат Мираж готовый,15.0,8.8,3.3,152
Салат Мицуна,2.0,0.2,1.5,16
Салат Монастырский готовый,1.5,18.1,7.4,198
Салат Морское ассорти готовый,1.4,4.3,7.3,71
Салат Морской дар готовый,7.4,20.2,2.6,239
Салат Московский готовый,5.3,20.2,6.1,227
Салат Мясной готовый,8.8,16.7,5.0,214
Салат Находка готовый,3.4,21.0,4.6,223
Салат Оаклиф,1.5,0.2,2.0,16
Салат Овощной McDonalds,2.0,3.0,5.0,60
Салат Оливье по-домашнему готовый,5.1,16.5,3.9,187
Салат Оливье с ветчиной готовый,5.4,16.7,7.0,198
Салат Оливье с колбасой готовый,5.4,16.7,7.0,198
Салат Оливье с мясом готовый,5.4,16.7,7.0,198
Салат Охотничий готовый,14.4,14.8,7.3,219
Салат Печеночный готовый,5.6,14.4,3.2,164
Салат Пикантный готовый,5.9,17.7,4.6,202
Салат Полевой,1.1,0.0,3.5,23
Салат Птица по-английски готовый,12.6,17.9,1.2,216
Салат Радичио,1.5,0.2,3.3,20
Салат Розовый фламинго готовый,7.3,16.0,5.8,206
Салат Романо,1.8,1.1,2.7,17
Салат Русалочка готовый,7.8,15.6,2.7,203
Салат Русский узор готовый,3.2,14.9,8.2,177
Салат Сеул готовый,6.9,7.6,4.5,106
Салат Солнышко готовый,10.0,20.3,3.7,239
Салат Столичный готовый,7.6,18.8,6.4,217
Салат Сыр с грибами готовый,17.0,13.3,0.2,189
Салат Сытницкий готовый,9.2,27.6,2.0,292
Салат Татьянин день готовый,4.0,15.0,2.8,161
Салат Фаворит готовый,16.6,12.3,0.4,178
Салат Фермер готовый,4.7,16.6,2.7,179
Салат Фитнес готовый,1.9,10.1,23.8,192
Салат Фризе,1.5,0.0,2.2,14
Салат Фунчоза готовый,0.2,3.5,6.4,82
Салат Цезарь McDonalds,15.0,10.0,9.0,190
Салат Цезарь лайт KFC (без заправки),10.6,7.3,7.3,137
Салат Чешский готовый,14.0,9.0,3.4,149
Салат-коктейль Бондюэль Гавайский аринованный,1.7,0.5,20.0,91
Салат-коктейль Бондюэль Сомбреро,1.7,0.8,11.9,62
Салатный микс Солнечная фазенда Каталония,1.8,0.2,5.9,34
Салаты Белая Дача Baby Mix,1.5,0.2,2.3,17
Салаты Белая Дача Girls Mix,1.5,0.2,2.3,17
Салаты Белая Дача Mens Mix,1.5,0.2,2.3,17
Салаты Белая Дача Party Mix,1.5,0.2,2.3,17
Салаты Белая Дача Tango Mix,1.5,0.2,2.3,17
Салаты Белая Дача Vita Mix,1.5,0.2,2.3,17
Салаты Белая Дача Аликанте,1.5,0.2,2.3,17
