name,protein,fats,carbs,calories
Гренки ржаные с чесноком,9.5,12.5,22.1,239
Грецкий орех,15.2,65.2,7.0,654
Гречка зелёная для проращивания,10.8,3.2,54.4,295
Гречневая каша,4.5,2.3,25.0,132
Гречневая каша Nestle безмолочная,11.0,3.0,76.5,377
Гречневая каша Nestle безмолочная с черносливом,11.0,3.0,76.5,377
Гречневая каша Nestle молочная,14.0,10.0,66.0,410
Гречневая каша Nestle молочная с курагой,14.0,10.0,66.0,410
Гречневая каша вязкая на воде,3.2,0.8,17.1,90
Гречневая каша из крупы ядрица,3.0,3.4,14.6,101
Гречневая каша Малютка безмолочная,11.4,2.7,76.3,375
Гречневая каша Малютка молочная с черносливом,12.8,12.4,67.1,431
Гречневая каша на молоке,4.2,2.3,21.6,118
Гречневая каша ФрутоНяня безмолочная с яблоком,0.7,0.0,15.0,63
Гречневая кашка Heinz грушка абрикос смородинка молочная,12.0,2.9,76.2,379
Гречневая кашка Heinz низкоаллергенная без молока,9.5,1.6,74.0,350
Гречневая кашка ФрутоНяня молочная жидкая с яблоком,2.0,1.9,9.6,62
Гречневая крупа (продел),9.5,2.3,65.9,306
Гречневая крупа (ядрица),12.6,3.3,62.1,313
Гречневая крупа (ядрица) зелёная,10.8,3.2,56.0,296
Гречневая крупа Агро-Альянс Элитная,14.0,3.0,58.0,320
Гречневая крупа Мистраль ядрица,13.6,3.3,65.0,353
Гречневая крупа Пассим Алтайская,12.6,2.6,68.0,329
Гречневые хлопья,9.0,2.4,67.0,330
Гречневые хлопья Myllyn Paras,13.0,1.7,67.5,340
Гречневые хлопья Myllyn Paras для каши,13.0,1.7,67.5,340
Гречневые хлопья Агро-Альянс,11.0,2.5,74.0,360
Гречневые хлопья Мистраль,12.6,2.3,59.0,345
Гречневые хлопья Пассим,9.5,2.3,65.8,322
Грибное ассорти 4 сезона,2.9,0.9,13.0,27
Грибное ассорти быстрозамороженное,2.2,0.8,0.7,20
Грибное ризотто Бондюэль в томатном соусе,2.4,0.8,16.3,82
Грибной жульен Hortex,2.6,0.5,2.6,30
Гриссини,7.0,6.0,40.0,238
Грог,0.0,0.0,0.0,220
Грузди маринованные Steinhauer,1.0,1.8,0.0,26
Грузди свежие,1.8,0.5,0.8,16
Групер (мероу),24.8,1.3,0.0,118
Груша,0.4,0.3,10.9,42
Груша консервированная,0.2,0.0,15.6,65
Грушевый компот,0.2,0.0,18.2,70
Грушевый нектар,0.1,0.1,8.8,37
Грушевый сок,0.4,0.3,11.0,46
Груши сушёные,2.3,0.6,62.6,249
Гуава,2.6,1.0,8.9,68
Гуава земляничная,0.6,0.6,17.4,69
Гуавовый сок,0.1,0.1,13.9,57
Гуарана,0.1,0.0,6.5,26
Гулявник лекарственный,0.3,0.0,5.0,21
Гусиная печень,15.2,39.0,0.0,412
Густера,15.1,2.4,0.0,97
Гусь,15.2,39.0,0.0,412
Гусь вареный,19.3,41.2,0.0,447
Гусь жареный,22.9,58.8,0.0,620
Гюнику татаки,12.8,2.6,6.8,102
Гютан терияки,11.0,22.5,14.1,223
Дайкон,1.2,0.0,4.1,21
Даниссимо Белый персик - белый шоколад,4.6,6.1,18.3,147
Даниссимо Вишня,4.7,5.4,17.5,138
Даниссимо Груша-ваниль,4.7,5.4,17.1,136
Даниссимо Клубника,4.7,5.4,17.1,136
Даниссимо Крем-брюле,4.6,4.6,18.8,135
Даниссимо Лесные ягоды,4.7,5.4,17.2,136
Даниссимо Малина-земляника,4.7,5.4,16.0,131
Даниссимо Пахлава,4.7,5.1,15.8,128
Даниссимо Пинаколада,4.6,5.3,16.1,131
Даниссимо Пломбир,4.6,4.6,13.1,112
Даниссимо с хрустящими шариками,4.9,7.3,16.5,151
Даниссимо с хрустящими шариками Ванильный,4.9,7.3,16.5,151
Даниссимо Черника,4.7,5.4,16.5,134
Даниссимо Шоколад,5.0,7.1,16.0,148
Даниссимо Яблочный пирог,4.7,5.4,13.6,122
Даси,5.0,0.0,30.0,120
Девясил,2.9,0.0,0.2,15
Десерт Alpro Soya ванильный,3.0,1.8,12.7,80
Десерт Konti Bonjour ванильный,4.0,20.1,63.6,443
Десерт Вафельный рожок McDonalds,3.0,4.0,22.0,135
Десерт Вишнёвый пирожок McDonalds,2.0,12.0,29.0,230
Десерт горячий Брауни Бургер Кинг,5.6,30.9,39.2,456
Десерт итальянский Флоренция карамельный,3.6,17.2,53.0,376
