name,protein,fats,carbs,calories
Семена льна,18.3,42.2,28.9,534
Семена пажитника,23.0,6.4,58.3,323
Семена укропа,16.0,14.5,55.1,305
Семена фенхеля,15.8,14.8,52.3,345
Семена чиа,16.5,30.7,42.1,512
Семечки подсолнечника,20.7,52.9,3.4,578
Семечки тыквенные,24.5,45.8,4.7,556
Сибас,18.0,3.0,,99
Сиг,19.0,7.5,,144
Сидр,0.2,0.3,28.9,117
Сизигиум,0.6,0.3,5.6,25
Сильвер Анчоус солёно-сушеный,57.4,3.1,0.1,258
Сильвер Жёлтая рыбка,40.0,16.9,1.0,336
Сильвер Жёлтый полосатик,52.4,5.8,3.3,262
Сильвер Кальмар копчёный,58.0,1.0,3.0,263
Сильвер Кальмар сушёный,58.0,1.0,3.0,263
Сильвер Камбала,57.9,2.0,3.0,275
Сильвер Кольца кальмара,45.0,1.0,13.0,241
Сильвер Кольца кальмара копчёные,45.0,1.0,13.0,241
Сильвер Креветка гриль,42.0,0.5,2.0,150
Сильвер Морской язык,40.0,16.9,3.0,336
Сильвер Осьминог сушёный,31.0,0.5,2.0,95
Сильвер Ставридка,52.4,5.8,3.3,262
Сильвер Тунец серебристый,46.3,8.8,0.0,200
Сильвер Угорь,57.9,2.0,3.0,275
Сильвер Янтайная рыбка,40.0,16.9,1.0,336
Сироп агавы Sunny Via,0.0,0.5,76.0,310
Сироп вишневый,0.3,0.1,64.0,256
Сироп Гренадин,0.0,0.0,66.9,268
Сироп кленовый,0.0,0.1,67.4,260
Сироп клубничный,0.2,0.0,39.5,154
Сироп сахарный,0.2,0.0,70.5,285
Сироп топинамбура Тоба,0.0,0.0,69.5,267
Сироп Черное море Лайт вкус Лесные ягоды,0.0,0.0,4.0,16
Скат,24.0,1.6,0.0,110
Скат (крылья),24.0,1.6,0.0,111
Скорцонера,1.0,1.0,1.0,17
Скумбрия в масле,13.1,25.1,,278
Скумбрия горячего копчения,22.1,23.8,4.1,317
Скумбрия консервированная,14.4,28.9,0.0,317
Скумбрия копченая,20.7,15.5,,221
Скумбрия маринованная,12.8,8.3,3.7,142
Скумбрия на пару,18.0,13.2,,191
Скумбрия отварная,19.6,14.7,,211
Скумбрия свежая,18.0,13.2,0.0,191
Скумбрия соленая,18.0,13.1,0.0,194
Слайсы,7.0,7.9,74.7,370
Слайсы пшеничные,11.2,1.8,80.3,382
Слива,0.8,0.3,9.6,42
Слива 4 сезона без косточки,0.8,0.2,7.7,34
Сливки  9%,2.8,9.0,4.0,107
Сливки 10% (нежирные),3.0,10.0,4.0,118
Сливки 15% (маложирные),2.3,15.0,3.6,161
Сливки 20% (средней жирности),2.8,20.0,3.7,205
Сливки 33% (классические),2.2,33.0,4.0,322
Сливки 35% (жирные),2.5,35.0,3.0,337
Сливки взбитые,3.2,22.2,12.5,257
Сливки кокосовые Aroy-D,1.6,21.0,4.8,214
Сливки Простоквашино 10%,2.8,10.0,4.5,119
Сливки Простоквашино 20%,2.5,20.0,4.0,206
Сливки сгущенные с сахаром,6.1,19.0,53.0,410
Сливки соевые сухие Здоровое питание,3.4,25.5,64.4,500
Сливки сухие,23.0,42.7,26.3,579
Сливки сухие высокожирные,10.0,75.0,10.0,753
Сливовица,0.1,0.1,0.5,302
Сливовый компот,0.5,0.0,23.9,96
Сливовый нектар,0.1,0.0,11.0,46
Сливовый сок,0.8,0.0,9.6,39
Слойка Коса Русская,7.4,12.3,50.7,344
Слойка Круассан с варёной сгущёнкой,2.3,20.4,53.2,335
Cлойка Ракушка,5.6,13.0,51.0,343
Слойка Ракушка с шоколадом,5.3,14.1,51.7,356
Слойка с сыром,12.3,16.5,43.7,376
Слойка Свердловская Черёмушки,7.3,13.3,51.1,353
Слойка Улитка,6.5,15.2,48.0,354
Слойка Улыбка,16.3,10.1,53.6,376
Смесь Bravolli суповая,18.0,1.5,60.0,330
Смесь BSN Evotest,0.0,0.0,50.0,200
Смесь BSN N.O.-Xplode 2.0,0.0,0.0,44.4,178
Смесь BSN N.O.-Xplode 2.0 Caffeine Free,0.0,0.0,44.4,178
