,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
61,,Протеин Ванситон Экстра,78.0,5.0,15.0,415
62,,Смесь BSN Evotest,0.0,0.0,50.0,200
63,,Смесь BSN N.O.-Xplode 2.0,0.0,0.0,44.4,178
64,,Смесь BSN N.O.-Xplode 2.0 Caffeine Free,0.0,0.0,44.4,178
65,,Смесь BSN Volumaize,0.0,0.0,67.8,271
66,,Смесь CytoSport Fast Twich,13.0,0.0,65.2,304
67,,Смесь Herbalife Протеиновая Формула 3,83.0,4.3,3.7,375
68,,Смесь Multipower BCAA Powder,60.0,0.0,22.0,300
69,,Смесь Multipower Muscle Effect,32.7,0.2,46.2,336
70,,Смесь Muscletech Anotest Performance,0.0,0.0,14.3,357
71,,Смесь Muscletech Cell Tech Hardcore Pro,0.0,0.0,77.0,360
72,,Смесь Muscletech Cell Tech Performance,0.0,0.0,77.6,367
73,,Смесь Muscletech Meso-Tech Complete,51.3,3.8,41.0,359
74,,Смесь Optimum After Max,42.1,4.2,42.1,368
75,,Смесь Optimum Pre-Load Creatine Complex,0.0,0.0,73.7,295
76,,Смесь PureProtein для приготовления блинов Protein Pancakes,35.0,2.7,43.9,340
77,,Суп Herbalife Томатный с базиликом,22.0,2.0,47.0,326
78,,Суп Леовит Худеем за неделю Тыквенный с миндалем,7.0,6.0,49.0,275
79,,Суп-пюре Леовит Худеем за неделю из помидоров по-Тоскански,6.5,5.0,45.0,250
