,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Багель,7.9,9.4,55.5,339
1,,Багет,7.5,2.9,51.4,262
2,,Баранки,16.0,1.0,70.0,336
3,,Батон Нарезной,7.5,2.9,50.9,264
4,,Батон Подмосковный,7.5,2.6,50.6,261
5,,Батон с пшеничными отрубями,9.2,2.8,51.4,273
6,,Батон Столичный,7.7,0.8,50.2,243
7,,Брецель,20.0,6.0,35.0,300
8,,Бриошь,5.2,7.5,57.2,304
9,,Брускетта,4.7,23.0,21.7,315
10,,Бублик,16.0,1.0,70.0,336
11,,Бублик Украинский,8.3,6.4,58.2,328
12,,Бублик Ярмарочный,8.5,7.0,58.3,330
13,,Булочка к чаю,7.2,6.2,51.0,317
14,,Булочка Калорийная,7.3,9.6,62.4,363
15,,Булочка отрубная,7.8,1.8,43.9,220
16,,Булочка Столичная,8.4,2.2,52.8,270
17,,Булочки 8 злаков,13.9,5.3,43.7,277
18,,Булочки Бургундские,0.7,1.7,55.0,266
19,,Булочки Бутербродные с кунжутом,9.6,4.2,59.5,320
20,,Булочки для гамбургеров,7.0,4.0,52.0,272
21,,Булочки для хот-догов,8.7,7.5,60.6,339
22,,Булочки сдобные,7.9,9.4,55.5,339
23,,Ватрушка с творожной начинкой,10.0,12.1,46.1,331
24,,Волован,7.9,29.9,35.9,435
25,,Гренки пшеничные,11.4,9.0,65.7,390
26,,Гренки пшеничные кубики салатные,12.3,5.2,61.6,342
27,,Гренки ржаные с чесноком,9.5,12.5,22.1,239
28,,Гриссини,7.0,6.0,40.0,238
29,,Калач,7.9,0.8,51.6,249
30,,Каравай Праздничный,7.7,6.3,45.9,276
31,,Крендель,8.2,3.1,69.3,338
32,,Крутоны,10.1,9.7,71.7,426
33,,Кулич пасхальный магазинный,5.5,15.8,43.3,331
34,,Лаваш армянский,7.9,1.0,47.6,236
35,,Лаваш кавказский,8.1,0.7,57.1,274
36,,Лаваш шпинатный,7.2,0.8,48.3,220
37,,Лепёшка ржаная,8.0,18.3,44.2,376
38,,Лепешка узбекская с кунжутом,7.9,0.8,50.4,245
39,,Маца,10.5,1.3,69.9,312
40,,Основа для пиццы Талосто,2.9,2.4,54.4,274
41,,Паляница Украинская,7.9,0.9,50.2,246
42,,Пампушки,5.8,3.9,41.9,215
43,,Пампушки с чесноком,8.6,3.3,58.8,299
44,,Пита,7.4,0.8,49.9,242
45,,Пицца Casa Nostra Ассорти,11.4,8.5,29.8,261
46,,Пицца Casa Nostra Ветчина-Сыр,8.5,7.2,29.6,235
47,,Пицца Casa Nostra Грибы-Сыр,9.4,4.7,29.2,203
48,,Пицца Ristorante Bolognese,8.7,9.5,22.9,213
49,,Пицца Ristorante Calzone Speciale,11.2,13.9,21.9,258
50,,Пицца Ristorante Formaggi and Pomodori,7.7,11.6,23.9,232
51,,Пицца Ristorante Funghi,7.8,12.3,22.9,235
52,,Пицца Ristorante Hawaii,8.6,8.6,25.7,215
53,,Пицца Ristorante Mozzarella,10.5,13.6,24.3,262
54,,Пицца Ristorante Pepperoni-Salame,10.1,14.1,25.8,272
55,,Пицца Ristorante Piccola Mozzarella,10.0,12.7,22.8,246
56,,Пицца Ristorante Piccola Salame,10.0,13.5,25.4,264
57,,Пицца Ristorante Prosciutto,10.1,10.1,24.1,228
58,,Пицца Ristorante Quattro Formaggi,10.8,14.0,24.1,267
59,,Пицца Ristorante Salame,10.4,14.0,26.3,273
60,,Пицца Ristorante Speciale,10.0,13.3,23.5,255
61,,Пицца Ristorante Vegetale,6.7,9.1,22.2,198
62,,Плетёнка с кунжутом,7.9,2.7,51.5,267
63,,Плетёнка с маком,7.9,2.7,51.5,267
64,,Плюшка,7.6,8.8,56.4,334
65,,Плюшка Московская,7.6,8.7,57.2,330
66,,Пончик,5.6,13.0,38.8,296
67,,Рогалик,7.9,10.8,57.2,357
68,,Рожки сдобные,8.3,12.1,50.5,345
69,,Роти,13.9,1.8,75.1,370
70,,Рулет Майский,7.3,9.3,55.0,333
71,,Сайка,7.9,9.4,55.5,339
72,,Самса с курицей,11.0,24.0,17.0,325
73,,Сдоба Сормовская Черёмушки,7.6,9.2,58.6,348
74,,Слайсы,7.0,7.9,74.7,370
75,,Слайсы пшеничные,11.2,1.8,80.3,382
76,,Сухарики из белого хлеба,11.2,1.4,72.2,331
77,,Сухарики ржаные,16.0,1.0,70.0,336
78,,Сушки маковые,11.3,4.4,70.5,372
79,,Тако,7.1,20.8,58.1,467
