,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Сельдь в растительном масле,16.4,26.5,,301
1,,Сельдь в сметане,5.5,6.2,5.3,97
2,,Сельдь в томатном соусе,13.8,9.7,4.6,159
3,,Сельдь горячего копчения,21.8,14.3,,215
4,,Сельдь консервированная,17.5,2.0,0.0,88
5,,Сельдь маринованная,16.5,12.6,3.4,192
6,,Сельдь свежая,16.3,10.7,,161
7,,Сельдь соленая,19.8,15.4,0.0,217
8,,Сёмга (брюшки),25.0,24.0,0.0,310
9,,Сёмга (хребты),20.0,8.1,0.0,153
10,,Сёмга копченая,22.5,12.5,0.0,202
11,,Сёмга на гриле,21.8,14.1,,230
12,,Сёмга на пару,19.3,14.0,,197
13,,Сёмга отварная,22.5,12.5,,189
14,,Сёмга свежая,21.6,6.0,,140
15,,Сёмга слабосоленая Русское море филе-кусок,23.0,13.0,,195
16,,Сибас,18.0,3.0,,99
17,,Сиг,19.0,7.5,,144
18,,Скат,24.0,1.6,0.0,110
19,,Скат (крылья),24.0,1.6,0.0,111
20,,Скумбрия в масле,13.1,25.1,,278
21,,Скумбрия горячего копчения,22.1,23.8,4.1,317
22,,Скумбрия консервированная,14.4,28.9,0.0,317
23,,Скумбрия копченая,20.7,15.5,,221
24,,Скумбрия маринованная,12.8,8.3,3.7,142
25,,Скумбрия на пару,18.0,13.2,,191
26,,Скумбрия отварная,19.6,14.7,,211
27,,Скумбрия свежая,18.0,13.2,0.0,191
28,,Скумбрия соленая,18.0,13.1,0.0,194
29,,Солнечник,18.9,2.2,0.0,95
30,,Сом маринованный,11.4,7.4,0.2,116
31,,Сом отварной,18.4,13.6,,196
32,,Сом припущенный,18.2,5.4,,121
33,,Сом свежий,16.8,8.5,,143
34,,Ставрида в масле,15.6,27.4,,309
35,,Ставрида в томатном соусе,14.8,2.3,7.3,110
36,,Ставрида жареная,20.3,10.5,3.7,190
37,,Ставрида отварная,20.6,5.6,,133
38,,Ставрида припущенная,19.6,4.8,,122
39,,Ставрида свежая,19.0,5.0,,119
40,,Ставрида холодного копчения,17.1,2.8,,94
41,,Стерлядь копченая,17.5,2.0,0.0,88
42,,Стерлядь свежая,17.0,6.1,,122
43,,Судак отварной,21.3,1.3,,97
44,,Судак припущенный,19.6,1.2,,89
45,,Судак свежий,19.2,0.7,,84
46,,Судак фаршированный,13.7,6.0,8.7,144
47,,Сурими,15.2,0.9,6.8,99
48,,Таймень,17.5,2.0,0.0,88
49,,Талисман,15.7,3.0,,90
50,,Тарань,17.5,2.0,0.0,88
51,,Терпуг,17.8,3.4,,102
52,,Терпуг зубатый,17.6,9.5,,85
53,,Тиляпия,20.1,1.7,0.0,96
54,,Тиляпия (филе),20.8,1.7,0.0,96
55,,Тиляпия жареная,26.1,2.6,,128
56,,Толстолобик белый свежий,19.5,0.9,0.2,86
57,,Толстолобик маринованный,9.9,10.3,3.3,146
58,,Трепанг,7.3,0.6,0.0,34
59,,Трепанг варёный,9.0,0.7,,42
60,,Трепанг жареный,9.0,0.7,,41
61,,Треска (печень в масле),4.2,65.7,1.2,613
62,,Треска (печень натуральная Беринг),9.0,43.0,1.0,400
63,,Треска горячего копчения,26.0,1.2,,115
64,,Треска жареная,23.0,0.1,,111
65,,Треска запечённая,6.0,3.7,8.0,90
66,,Треска консервированная,22.7,0.9,0.0,105
67,,Треска копченая,22.1,0.5,,94
68,,Треска отварная,17.8,0.7,,78
69,,Треска с гриля,22.1,9.1,0.6,172
70,,Треска свежая,17.7,0.7,,78
71,,Треска соленая,23.1,0.6,,98
72,,Треска тушеная,9.7,5.1,3.9,101
73,,Треска чёрная (угольная рыба),12.2,16.9,0.0,201
74,,Тридакна (морская цикада),16.7,3.6,0.0,104
75,,Трубач,17.1,0.4,2.8,24
76,,Тунец (стружка),81.2,1.8,0.6,434
77,,Тунец 5 морей в собственном соку,20.2,0.4,,88
78,,Тунец в растительном масле,27.1,9.0,,190
79,,Тунец в собственном соку,21.0,1.2,0.0,96
