,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Агар пищевой,4.0,0.0,76.0,301.0
1,,Аджика,1.0,3.7,5.8,59.0
2,,Ажгон,19.7,14.5,11.9,333.0
3,,Анис,17.6,15.9,35.4,337.0
4,,Асафетида,0.1,0.1,0.1,
5,,Бадьян,18.0,16.0,50.0,337.0
6,,Базилик свежий,2.5,0.6,4.3,27.0
7,,Базилик сушеный,14.4,4.0,61.0,251.0
8,,Бахарат,10.9,3.2,38.3,255.0
9,,Бербере,2.0,0.1,11.0,71.0
10,,Болдо,7.6,8.3,48.6,313.0
11,,Букет гарни,12.4,6.5,26.0,259.0
12,,Бульонный кубик,2.0,2.0,4.0,40.0
13,,Бумбу,1.0,0.8,11.3,61.0
14,,Валериана,0.0,0.0,0.0,
15,,Ванилин,0.1,0.1,12.7,288.0
16,,Ваниль,1.2,0.1,12.5,287.0
17,,Ванильная эссенция,0.1,0.1,12.6,288.0
18,,Ванильный порошок,1.2,0.1,12.5,287.0
19,,Винный камень,0.0,0.0,0.0,
20,,Воздушный рис,6.3,0.5,89.8,402.0
21,,Галангал (корень),1.8,0.7,15.7,80.0
22,,Галангал сушеный,9.1,5.9,58.3,347.0
23,,Гарам масала,15.0,15.0,45.0,379.0
24,,Гвоздика,6.0,20.1,27.0,323.0
25,,Горчица,5.7,6.4,22.0,162.0
26,,Горчица белая (английская),37.1,11.1,5.9,271.0
27,,Горчица дижонская,9.9,12.7,5.3,143.0
28,,Горчица русская (сарептская),8.7,11.0,11.6,185.0
29,,Горчица чёрная (французская),37.1,11.1,5.9,271.0
30,,Горчичный порошок,37.1,11.1,32.6,378.0
31,,Гремолата,3.7,0.4,7.6,49.0
32,,Дрожжи,12.7,2.7,0.0,75.0
33,,Дрожжи пивные,12.7,2.7,0.0,75.0
34,,Дрожжи прессованные,12.7,2.7,8.5,109.0
35,,Дрожжи сухие быстродействующие Саф-момент,49.0,6.0,40.0,410.0
36,,Душица (орегано),1.5,0.0,5.0,25.0
37,,Дягиль,4.2,2.4,3.1,10.0
38,,Жасмин,0.1,0.0,0.0,1.0
39,,Желатин Dr.Oetker пищевой,84.0,0.0,0.0,336.0
40,,Желатин листовой,85.0,0.5,0.0,336.0
41,,Желатин пищевой,87.2,0.4,0.7,355.0
42,,Желе Dr.Oetker со вкусом Апельсина,13.1,0.0,80.4,374.0
43,,Желе Dr.Oetker со вкусом Вишни,13.1,0.0,80.3,374.0
44,,Желе Dr.Oetker со вкусом Клубники,14.0,0.0,80.0,388.0
45,,Желе Dr.Oetker со вкусом Лесных ягод,13.1,0.0,80.3,374.0
46,,Желе Dr.Oetker со вкусом Лимона,13.1,0.0,80.7,375.0
47,,Желе Dr.Oetker со вкусом Малины,13.1,0.0,80.4,374.0
48,,Желфикс Dr.Oetker,0.5,0.0,0.5,313.0
49,,Женьшень,0.0,0.0,10.0,41.0
50,,Жидкий дым,0.1,0.1,0.1,
51,,Закваска сухая,11.0,2.0,67.0,330.0
52,,Закваска хлебная ржаная,3.9,0.7,26.7,132.0
53,,Зантоксилум,10.4,2.1,42.4,296.0
54,,Заправка Сэн Сой для фунчозы по-корейски,1.3,55.0,10.1,541.0
55,,Зелень сушёная,3.0,0.0,24.5,210.0
56,,Зира,12.0,5.0,32.0,112.0
57,,Зубровка душистая,0.0,0.0,0.0,
58,,Имбирь,1.8,0.8,15.8,80.0
59,,Имбирь китайский (крачай),1.8,0.7,15.7,80.0
60,,Имбирь маринованный,0.2,0.3,12.5,51.0
61,,Имбирь сухой,9.1,6.0,70.8,347.0
62,,Иссоп,3.9,0.6,0.2,21.0
63,,Камфора,0.0,0.0,0.0,
64,,Кардамон,10.8,6.7,68.5,311.0
65,,Кардамон чёрный,10.7,6.8,40.5,311.0
66,,Карри,12.7,13.8,25.0,352.0
67,,Кассия,3.9,1.2,27.5,250.0
68,,Кервель сушеный,23.2,3.9,49.1,237.0
69,,Кетчуп,1.8,1.0,22.2,93.0
70,,Кетчуп Heinz для гриля и шашлыка,0.9,0.0,23.4,97.0
71,,Кетчуп Heinz острый,0.9,0.0,23.2,96.0
72,,Кетчуп Heinz с чесноком и пряностями,1.1,0.0,24.1,101.0
73,,Кетчуп Heinz супер острый,0.9,0.0,23.2,96.0
74,,Кетчуп Heinz томатный,0.9,0.0,23.1,96.0
75,,Кинза сушёная молотая,3.0,0.0,54.5,216.0
76,,Клейковина пшеничная (глютен),76.0,0.4,9.0,350.0
77,,Клетчатка Агросельпром из молотых семян кунжута,50.7,19.8,11.0,425.0
78,,Клетчатка Агросельпром из отрубей гречихи,15.5,4.3,64.5,343.0
79,,Клетчатка Агросельпром из отрубей ржи,11.0,3.0,56.8,284.0
