,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Маковник Сдобная особа,7.5,18.0,50.0,390
1,,Мармелад жевательный Fruit-tella Микс,0.0,0.0,82.0,354
2,,Мармелад жевательный Haribo Berries,1.0,0.0,84.0,341
3,,Мармелад жевательный Haribo Золотой мишка,6.9,0.0,77.0,343
4,,Мармелад жевательный Бон Пари Айс Крим,5.5,0.0,76.5,332
5,,Мармелад жевательный Бон Пари Бегемотики,4.3,0.0,74.5,321
6,,Мармелад жевательный Бон Пари Весёлые челюсти,4.7,0.0,75.2,325
7,,Мармелад жевательный Бон Пари Кислые червячки,3.6,0.0,77.2,330
8,,Мармелад жевательный Бон Пари Кола,4.4,0.0,75.0,322
9,,Мармелад жевательный Бон Пари Машинки,4.8,0.0,75.9,329
10,,Мармелад жевательный Бон Пари Медвежата,4.8,0.0,75.7,328
11,,Мармелад жевательный Бон Пари Морское царство,4.7,0.0,73.8,320
12,,Мармелад жевательный Фру-фру Цветные акулы,3.5,0.0,69.5,294
13,,Мармелад Мармеландия Лимонные дольки,0.1,0.0,81.0,326
14,,Мармелад фруктово-ягодный,0.4,0.0,76.6,293
15,,Мармелад фруктово-ягодный в шоколаде,1.5,9.2,64.2,349
16,,Мармеладные дольки,0.0,0.0,86.6,318
17,,Марципан,6.8,21.2,65.3,479
18,,Маршмеллоу,1.8,0.2,81.3,318
19,,Мастика сахарная,0.0,1.0,96.0,393
20,,Меренги (безе),2.6,20.8,60.5,440
21,,Мини круассаны 7 Days с кокосовым кремом,7.0,26.3,42.0,433
22,,Мини круассаны 7 Days с кремом ваниль,7.0,26.3,44.0,441
23,,Мини круассаны 7 Days с кремом варёная сгущенка,8.0,26.3,44.0,445
24,,Мини круассаны 7 Days с кремом какао,7.0,26.3,44.0,441
25,,Мини круассаны 7 Days с кремом карамель,6.0,26.3,44.5,441
26,,Мини круассаны 7 Days с начинкой вишня,6.0,16.0,52.0,380
27,,Мини круассаны 7 Days с начинкой клубника,6.0,16.3,52.0,379
28,,Мини-печенье Медвежонок Барни для завтрака медовое,8.0,14.5,68.0,430
29,,Мини-печенье Медвежонок Барни для завтрака шоколадное,8.3,15.5,67.0,430
30,,Нуга Пеко Арахисовая,7.1,10.6,72.2,404
31,,Нуга с миндалем и клюквой,6.0,22.0,60.0,465
32,,Нуга с орехами и цукатами,6.5,16.0,65.0,430
33,,Паста Hy-Top арахисовая хрустящая,21.9,50.0,22.0,625
34,,Паста Nutbutter арахисовая натуральная,24.0,50.0,22.0,585
35,,Паста Nutella,6.8,31.0,56.0,530
36,,Паста Бис шоколадная соевая,6.0,25.0,25.0,349
37,,Пастила,0.5,0.0,80.8,310
38,,Пастила Шарлиз с ароматом ванили,0.6,0.1,83.5,313
39,,Пастила Шарлиз с кусочками мармелада,0.5,0.1,83.8,312
40,,Пастила Шармэль Ванильная,0.5,0.0,79.0,320
41,,Пастила Шармэль Йогурт,0.3,0.0,75.0,302
42,,Пастила Шармэль Клубника со сливками,1.0,0.0,78.0,318
43,,Пастила Шармэль Клюквенная,0.5,0.0,79.0,320
44,,Пастила яблочная,0.3,0.0,73.5,294
45,,Печенье,7.5,11.8,74.9,417
46,,Печенье Oreo Original,4.9,20.8,68.0,478
47,,Печенье Wagon Wheels,5.1,15.6,66.9,431
48,,Печенье Анзак,5.4,21.4,53.6,415
49,,Печенье Грибочки,3.6,7.9,69.6,367
50,,Печенье Деревенское,8.1,26.8,57.8,444
51,,Печенье Кокосанка,7.0,22.7,64.2,479
52,,Печенье Крекер,11.3,13.4,67.1,352
53,,Печенье Курабье,6.7,25.8,64.6,516
54,,Печенье Мария,8.7,8.8,70.9,400
55,,Печенье Маркиза,7.3,29.3,68.9,568
56,,Печенье миндальное,7.0,22.7,64.7,486
57,,Печенье овсяное,6.5,14.4,71.8,437
58,,Печенье Посиделкино овсяное с шоколадными кусочками,5.8,17.6,70.1,436
59,,Печенье с ароматом топленого молока,7.2,26.5,63.0,519
60,,Печенье Савоярди,8.5,3.8,76.6,378
61,,Печенье сдобное,10.4,5.2,76.8,458
62,,Печенье Слоёные ушки,6.4,29.0,57.0,520
63,,Печенье Спартак с фруктозой,8.5,17.4,64.6,450
64,,Печенье Хворост,8.8,3.7,42.5,283
65,,Печенье Шакер бура,5.7,21.0,31.0,335
66,,Печенье Шакер чурек,5.0,19.8,49.9,416
67,,Печенье Юбилейное традиционное,7.6,19.5,65.5,465
68,,Печенье Юбилейное утреннее с какао,8.8,17.1,70.0,447
69,,Пирог Сдобная особа Завитушка Сливочный мусс и шоколад,5.4,16.0,53.0,380
70,,Пирог Сдобная особа Завитушка Шоколад и орех,7.0,21.0,47.0,400
71,,Пирог Сдобная особа с начинкой абрикос,4.3,13.8,59.1,378
72,,Пирог Сдобная особа с начинкой вишня,4.0,14.1,56.3,370
73,,Пирог Сдобная особа с начинкой голубика,4.3,13.8,59.1,378
74,,Пирог Сдобная особа с начинкой клубника,4.3,13.6,59.0,376
75,,Пирожное Choco Pie Lotte,4.0,18.0,64.9,438
76,,Пирожное Choco-Pie,3.6,16.1,70.9,430
77,,Пирожное Kinder Delice с молочной начинкой,5.9,29.0,42.6,455
78,,Пирожное Kinder молочный ломтик,8.2,27.9,34.0,420
79,,Пирожное Воздушное,3.1,16.3,68.5,419
