name,protein,fats,carbs,calories
Молоко 0.5%,2.8,0.5,4.9,35
Молоко 0.7%,3.3,0.7,4.7,38
Молоко 1%,3.3,1.0,4.8,41
Молоко 1.5%,2.8,1.5,4.7,44
Молоко 2.5%,2.8,2.5,4.7,52
Молоко 3.2%,2.9,3.2,4.7,59
Молоко 3.2% (пастеризованное),2.8,3.2,4.7,58
Молоко 3.6%,2.8,3.6,4.7,62
Молоко 4.5%,3.1,4.5,4.7,72
Молоко Агуша с витаминами А и С 3.2%,2.9,3.2,4.7,59
Молоко Агуша с лактулозой 2.5%,3.0,3.2,4.5,59
Молоко Агуша Я Сам! Иммунити 2.5%,2.9,2.5,4.8,53
Молоко белковое,4.3,1.0,6.4,52
Молоко буйволиное,4.0,7.8,4.9,106
Молоко верблюжье,4.0,5.1,4.9,82
Молоко имбирное,1.2,1.0,1.5,21
Молоко кислое,2.2,2.5,3.5,60
Молоко кобылье,2.2,1.0,5.8,41
Молоко козье,3.6,3.3,4.8,68
Молоко кокосовое Blue Dragon,1.8,14.9,2.7,152
Молоко коровье свежее,2.9,3.5,4.7,62
Молоко овечье,6.5,7.7,4.8,110
Молоко ореховое,3.7,3.5,21.3,126
Молоко Простоквашино 2.5%,2.9,2.5,4.7,53
Молоко рисовое натуральное,0.1,1.3,12.2,60
Молоко сгущённое без сахара,6.6,7.5,9.4,131
Молоко сгущённое с сахаром,7.2,8.5,56.0,320
Молоко сгущённое с сахаром нежирное,10.0,0.0,58.0,272
Молоко соевое,3.3,1.8,5.7,54
Молоко соевое низкожирное,1.7,0.6,6.4,43
Молоко соевое обезжиренное,2.5,0.0,3.9,28
Молоко сухое Беллакт 25%,24.2,25.0,39.0,478
Молоко сухое обезжиренное,33.2,1.0,52.6,339
Молоко сухое цельное,26.0,25.0,37.5,476
Молоко Тёма детское 3.2%,3.0,3.2,4.7,60
Молоко Тёма детское обогащенное 3.2%,2.9,3.2,4.7,59
Молоко топлёное,3.0,6.0,4.7,84
Молочко кедровое,2.3,4.5,1.2,55
Мольва (морская щука),18.9,0.6,0.0,87
Момордика (Индийский огурец),0.8,0.1,3.0,15
Мора,1.5,0.5,5.9,34
Морепродукты,15.5,1.0,0.1,85
Морепродукты консервированные,10.0,1.7,1.3,61
Морепродукты Меридиан с заправкой для салата,10.2,1.6,2.9,65
Морковная ботва,0.6,0.1,5.3,35
Морковные палочки,1.0,0.0,6.0,29
Морковные палочки McDonalds,1.0,0.0,6.0,27
Морковный жмых,0.6,0.1,4.5,20
Морковный сок,1.1,0.1,6.4,28
Морковный сок Золотая Русь экзотик,0.0,0.0,11.0,44
Морковь,1.3,0.1,6.9,32
Морковь Бондюэль молодая целая,0.8,0.5,5.0,27
Морковь Бондюэль молодая Экстра,0.5,0.7,4.2,25
Морковь варёная,0.8,0.3,5.0,25
Морковь жёлтая,1.3,0.1,7.2,33
Морковь квашеная,1.3,0.1,4.5,26
Морковь консервированная,0.6,0.1,3.6,23
Морковь пассерованная,0.9,10.2,8.5,127
Морковь по-корейски классическая готовая,1.1,8.2,10.7,121
Морковь по-корейски острая готовая,1.2,9.0,12.9,137
Морковь по-корейски с грибами готовая,1.3,5.0,5.7,71
Морковь по-корейски с кальмарами готовая,5.3,11.4,7.7,152
Морковь по-корейски с капустой готовая,0.0,9.0,5.3,113
Морковь по-корейски со спаржей готовая,1.5,7.1,6.1,95
Морковь с чесноком и орехами готовая,2.0,11.5,9.3,148
Морковь сушеная,7.8,0.6,49.2,221
Морковь фиолетовая,1.3,0.1,6.9,35
Мороженое Dove Vanilla,3.8,21.7,30.5,333
Мороженое Nestle Extreme Пломбир с чёрной смородиной,2.6,12.6,35.5,262
Мороженое Nestle Extreme Тропик,2.4,7.5,39.0,236
Мороженое Nestle Maxibon с печеньем и орехами,3.6,15.0,39.2,307
Мороженое Nestle Maxibon Страчателла,3.6,15.0,39.4,307
Мороженое Viva la Crema Грецкий орех,4.1,13.0,27.1,245
Мороженое Viva la Crema Лесная ягода,3.2,8.2,29.4,205
Мороженое Viva la Crema Персик-маракуйя,3.3,8.4,29.7,209
Мороженое Viva la Crema Тартюфо,3.9,13.0,27.7,243
Мороженое Viva la Crema Трюфель,2.5,9.6,27.6,210
Мороженое Viva la Crema Фисташковое,4.1,13.9,24.6,239
Мороженое Viva la Crema Шварцвальдская вишня,1.7,16.4,29.7,273
Мороженое Инмарко Золотой стандарт пломбир,3.9,15.0,20.4,232
