name,protein,fats,carbs,calories
Брюква,1.2,0.1,7.7,37
Брюква запечённая,2.1,1.6,7.5,51
Брюква тушеная,1.2,8.5,8.6,114
Бублик,16.0,1.0,70.0,336
Бублик Украинский,8.3,6.4,58.2,328
Бублик Ярмарочный,8.5,7.0,58.3,330
Буженина вареная,16.4,18.3,1.0,233
Бузина,0.7,0.5,11.4,73
Бузинный сок,1.1,0.2,5.1,27
Буйволятина,19.0,13.2,0.0,194
Буйволятина вареная,30.0,17.4,0.0,276
Буйволятина жареная,33.4,23.2,0.0,342
Буйволятина тушеная,24.4,16.9,0.0,250
Букатини,12.0,1.2,71.0,350
Букет гарни,12.4,6.5,26.0,259
Буковый орех,6.2,50.0,33.5,576
Булгур,12.3,1.3,57.6,342
Булгур приготовленный,3.1,0.2,14.1,83
Булочка к чаю,7.2,6.2,51.0,317
Булочка Калорийная,7.3,9.6,62.4,363
Булочка отрубная,7.8,1.8,43.9,220
Булочка Столичная,8.4,2.2,52.8,270
Булочки 8 злаков,13.9,5.3,43.7,277
Булочки Бургундские,0.7,1.7,55.0,266
Булочки Бутербродные с кунжутом,9.6,4.2,59.5,320
Булочки для гамбургеров,7.0,4.0,52.0,272
Булочки для хот-догов,8.7,7.5,60.6,339
Булочки сдобные,7.9,9.4,55.5,339
Бульон говяжий,0.6,0.2,0.0,4
Бульон грибной,0.5,0.1,0.0,3
Бульон куриный,2.0,0.5,0.3,15
Бульон куриный крепкий домашний,2.5,1.2,3.5,36
Бульон куриный постный,0.1,0.0,0.0,1
Бульон овощной,0.2,0.1,0.9,5
Бульон рыбный,0.4,0.0,0.0,2
Бульонный кубик,2.0,2.0,4.0,40
Бумбу,1.0,0.8,11.3,61
Бурбон,0.0,0.0,0.4,235
Бутанику кадзукири,3.2,5.1,24.2,156
Бутанику рёри,16.6,22.2,3.4,280
Бычки в томатном соусе,17.5,2.0,0.0,88
Бычок,17.5,2.0,0.0,88
Бычьи яйца,13.0,20.0,0.1,230
Валериана,0.0,0.0,0.0,
Валуи,3.7,1.7,1.1,29
Ванилин,0.1,0.1,12.7,288
Ваниль,1.2,0.1,12.5,287
Ванильная эссенция,0.1,0.1,12.6,288
Ванильный порошок,1.2,0.1,12.5,287
Варенец 2.5%,2.8,2.5,4.0,50
Варенец Останкинский 2.5%,2.8,2.5,4.2,51
Вареники от Ильиной с вишней,7.6,0.0,18.7,105
Вареники от Ильиной с картофелем,4.4,3.7,18.5,125
Вареники от Ильиной с клубникой,7.9,0.0,17.6,205
Вареники от Ильиной с творогом,12.0,4.2,17.0,154
Вареники от Ильиной с черникой,7.6,0.0,18.7,105
Вареники Хвалынские с картошкой и грибами,6.0,3.6,32.0,184
Варенье из абрикосов,0.0,0.0,62.0,236
Варенье из айвы,0.4,0.2,70.6,273
Варенье из апельсинов,2.6,0.5,70.0,245
Варенье из брусники,0.2,0.1,64.6,244
Варенье из вишни,0.0,0.0,64.0,256
Варенье из груши,0.3,0.2,70.8,273
Варенье из дыни,0.3,0.1,44.7,197
Варенье из земляники,0.3,0.1,58.0,219
Варенье из инжира,0.0,0.0,62.0,236
Варенье из кабачков,0.3,0.1,48.9,196
Варенье из клубники,0.3,0.1,74.0,285
Варенье из лимонов,0.0,0.0,60.0,240
Варенье из малины,0.6,0.2,70.4,273
Варенье из мандаринов,0.7,0.2,75.9,294
Варенье из облепихи,0.7,3.7,34.4,165
Варенье из одуванчиков,0.6,0.1,48.0,191
Варенье из персиков,0.5,0.0,66.8,258
Варенье из ревеня,0.5,0.5,82.4,314
Варенье из сливы,0.4,0.3,74.2,288
Варенье из тёрна,0.0,0.0,62.0,248
Варенье из черники,0.4,0.2,56.1,214
Варенье из чёрной смородины,0.6,0.1,72.9,284
Варенье из черноплодной рябины,0.4,0.0,74.8,387
