name,protein,fats,carbs,calories
Икра лососевая зернистая,32.0,15.0,0.0,263
Икра масаго,22.0,6.0,1.0,140
Икра минтаевая пробойная,28.4,1.9,0.0,131
Икра минтаевая пробойная соленая,23.0,4.0,0.0,128
Икра мойвы Санта Бремор классическая,8.1,38.6,0.0,365
Икра мойвы Санта Бремор подкопчённая,9.3,38.3,0.0,382
Икра мойвы Санта Бремор с копчёным лососем,8.8,36.9,0.0,367
Икра мойвы Санта Бремор с креветкой,8.1,37.9,0.0,374
Икра мойвы Санта Бремор тресковая,8.4,37.9,0.0,375
Икра моллюсков,13.8,4.3,2.5,104
Икра морских ежей,13.8,4.3,2.5,104
Икра осетровая зернистая,28.0,9.7,0.0,203
Икра осетровая паюсная,36.0,10.2,0.0,236
Икра осетровая пробойная,36.0,10.2,0.0,235
Икра палтуса,20.0,3.0,0.0,107
Икра сазана,18.5,12.5,1.0,179
Икра севрюжья зернистая,28.4,11.9,0.0,221
Икра сельди,31.6,10.3,0.0,222
Икра судака,17.5,2.0,0.0,88
Икра толстолобика,8.8,6.2,12.9,137
Икра трески,24.0,0.2,0.0,115
Икра трески консервированная,19.0,11.0,1.0,179
Икра щучья,17.3,2.0,0.0,87
Икра ястычная,17.5,2.0,0.0,88
Имбирь,1.8,0.8,15.8,80
Имбирь китайский (крачай),1.8,0.7,15.7,80
Имбирь маринованный,0.2,0.3,12.5,51
Имбирь сухой,9.1,6.0,70.8,347
Индейка (грудка),19.2,0.7,,84
Индейка (желудки),20.0,7.0,,143
Индейка (кожа),12.7,36.9,0.0,387
Индейка (крылышки),16.5,11.4,,168
Индейка (ножки),15.7,8.9,,142
Индейка (окорочка),18.4,6.4,,131
Индейка (печень),19.5,22.0,,276
Индейка (сердце),16.0,5.1,0.4,128
Индейка (филе отварное),25.0,1.0,,130
Индейка вареная,25.3,10.4,,195
Индейка жареная,28.0,6.0,,165
Индейка фарш,20.0,8.0,0.5,161
Индоутка (мускусная утка),25.0,23.0,0.2,271
Инжир,0.7,0.2,13.7,49
Инжир сушеный,3.1,0.8,57.9,257
Ирга,0.0,0.0,12.0,45
Ирис Meller Белый шоколад,3.3,9.4,80.6,421
Ирис Meller Капучино,3.0,8.6,80.3,414
Ирис Meller Пралине,3.0,8.6,80.3,414
Ирис Meller Тёмный шоколад,3.0,6.6,79.2,396
Ирис Meller Шоколад,3.0,8.6,79.2,410
Иссоп,3.9,0.6,0.2,21
Итальянский пай Сдобная особа с вишней,5.0,12.8,61.2,382
Итальянский пай Сдобная особа с лимоном,5.0,12.8,60.5,380
Итальянский пай Сдобная особа с черникой,5.0,12.8,60.5,378
Йогурт Total 0%,10.3,0.0,4.0,57
Йогурт Агуша вязкий с бананом 2.7%,3.0,2.7,12.0,88
Йогурт Агуша детский натуральный 2.9%,3.0,2.9,10.4,80
Йогурт Агуша детский с черносливом 2.6%,2.8,2.6,11.8,82
Йогурт Агуша питьевой натуральный 3.1%,3.2,3.1,3.7,58
Йогурт Агуша питьевой с персиком 2.7%,2.8,2.7,10.7,81
Йогурт Агуша питьевой с черносливом 2.7%,2.8,2.7,10.7,81
Йогурт Активиa Вишня,3.8,2.9,17.4,111
Йогурт Активиa Клубника,3.8,2.9,14.1,98
Йогурт Активиa Мюсли,3.8,3.2,15.8,107
Йогурт Активиa Мюсли и киви,3.8,3.0,15.8,105
Йогурт Активиa Мюсли и персик,3.8,3.2,15.8,107
Йогурт Активиa Натуральный,4.5,3.5,6.3,75
Йогурт Активиa Отруби и злаки,3.8,2.9,14.0,97
Йогурт Активиa Чернослив,3.8,2.9,14.5,99
Йогурт Активиа Био+протеиновая натуральная,8.8,1.8,3.8,67
Йогурт Активиа Инжир,3.8,2.9,14.1,98
Йогурт Активиа лёгкая 1,5%,5.3,1.5,7.5,65
Йогурт Био Баланс Зелёный чай-лимон,3.1,1.5,12.8,77
Йогурт Био Баланс Злаки,3.1,1.5,12.6,76
Йогурт Био Баланс Клубника,3.1,1.5,14.1,82
Йогурт Био Баланс Черника-злаки,3.1,1.5,13.1,78
Йогурт Био Баланс Чернослив,3.1,1.5,13.0,78
Йогурт греческий,5.0,3.2,3.5,66
Йогурт Данон Вишня и черешня,2.9,1.6,15.7,89
Йогурт Данон Клубника,2.8,1.5,14.5,83
Йогурт Данон Персик и маракуйя,2.8,1.5,14.5,83
