,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
28,,Шоколад M&M's с шоколадом,4.9,20.3,73.0,472
29,,Шоколад M&M's со вкусом лесного ореха,5.0,19.6,70.9,480
30,,Шоколад M&M's со вкусом малины,4.3,19.0,71.3,474
31,,Шоколад Mars,4.4,18.2,68.0,453
32,,Шоколад Mars Max,4.4,18.1,68.0,453
33,,Шоколад Milka молочный,5.7,31.0,57.6,534
34,,Шоколад Milka с фундуком,6.6,33.8,53.4,545
35,,Шоколад Milka с фундуком и изюмом,5.6,26.8,56.9,495
36,,Шоколад Milka с цельным фундуком,7.5,36.5,49.0,555
37,,Шоколад MilkyWay,3.6,16.8,71.7,452
38,,Шоколад MilkyWay 1+1,3.5,16.8,71.7,452
39,,Шоколад MilkyWay Crispy Rolls,7.1,26.4,62.1,514
40,,Шоколад MilkyWay Клубничный коктейль,3.5,16.8,71.6,452
41,,Шоколад Nestle After Eight,2.5,12.8,74.4,428
42,,Шоколад Nestle for Men,7.5,33.8,54.9,555
43,,Шоколад Nestle for Men с фундуком,8.6,36.5,47.8,572
44,,Шоколад Nestle for Men с цельным миндалем,8.6,35.8,51.1,560
45,,Шоколад Nestle Nesquik,5.9,22.1,65.6,485
46,,Шоколад Nue Bitter Chocolate Cocoa Bean,8.0,48.0,25.0,560
47,,Шоколад Nue Milk Chocolate Gianduia,6.5,47.0,40.0,610
48,,Шоколад Nuts Арахис,10.6,28.5,49.8,498
49,,Шоколад Nuts Мегабайт,6.8,26.7,59.1,504
50,,Шоколад Nuts Мегабайт новая нежная нуга,6.6,26.7,59.0,507
51,,Шоколад Nuts Ореховый Тюнинг,6.8,26.6,59.1,504
52,,Шоколад Picnic,7.4,28.8,56.6,504
53,,Шоколад Picnic Мега,7.4,28.8,56.6,504
54,,Шоколад Picnic Мега Грецкий орех,4.2,33.2,41.7,473
55,,Шоколад Ritter Sport Schokowurfel,7.0,37.0,50.0,562
56,,Шоколад Ritter Sport белый с цельным лесным орехом,8.4,39.9,47.6,583
57,,Шоколад Ritter Sport горький с благородным марципаном,7.5,27.4,55.8,500
58,,Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея,6.2,32.1,52.6,524
59,,Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat,6.6,35.9,46.4,535
60,,Шоколад Ritter Sport горький с цельным лесным орехом,8.0,38.7,44.7,559
61,,Шоколад Ritter Sport горький с элитным какао из Эквадора,8.3,44.6,31.0,558
62,,Шоколад Ritter Sport зимний Апельсин-Марципан,6.0,27.0,57.0,497
63,,Шоколад Ritter Sport зимний Ванильный Рогалик,6.0,38.0,52.0,571
64,,Шоколад Ritter Sport зимний Карамель-Миндаль,7.0,31.0,57.0,532
65,,Шоколад Ritter Sport молочный с альпийским молоком,8.3,31.4,55.6,538
66,,Шоколад Ritter Sport молочный с вишней Амарена,5.0,38.6,52.0,574
67,,Шоколад Ritter Sport молочный с карамелью и орехом,7.5,36.6,50.4,561
68,,Шоколад Ritter Sport молочный с клубникой в йогурте,6.3,37.7,52.4,570
69,,Шоколад Ritter Sport молочный с кокосовой начинкой,7.0,41.0,48.0,584
70,,Шоколад Ritter Sport молочный с кукурузными хлопьями,6.4,28.0,60.5,519
71,,Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом,6.9,29.1,55.9,513
72,,Шоколад Ritter Sport молочный с миндалем из Калифорнии,11.0,36.8,45.4,557
73,,Шоколад Ritter Sport молочный с нежным йогуртом,8.7,38.1,48.4,571
74,,Шоколад Ritter Sport молочный с нежным кремом Капучино,6.3,40.5,48.6,584
75,,"Шоколад Ritter Sport молочный с орехом, изюмом и ямайским ромом",7.3,30.8,54.3,524
76,,Шоколад Ritter Sport молочный с печеньем,6.0,34.0,55.0,545
77,,Шоколад Ritter Sport молочный с цельным лесным орехом,7.0,38.0,47.0,559
78,,Шоколад Ritter Sport молочный Эспрессо,6.0,39.0,47.2,561
79,,Шоколад Roshen Брют 78% горький,10.0,43.0,25.0,550
