name,protein,fats,carbs,calories
Крабовые палочки Меридиан Снежный краб,15.4,6.9,4.0,140
Крабовые палочки Мирамар,15.4,6.9,4.0,140
Крабовые палочки Санта Бремор Снежный краб,8.9,1.0,6.3,70
Крабы консервированные,18.7,1.1,0.1,85
Крабы отварные,16.0,3.6,0.0,96
Крапива,2.6,0.3,5.2,33
Краситель пищевой,0.0,0.0,0.0,
Красноглазка,21.9,4.2,0.0,125
Краснопёрка,18.3,3.0,0.0,100
Крахмал картофельный,0.1,0.0,79.6,300
Крахмал кукурузный,1.0,0.6,85.2,329
Крахмал тапиоковый,0.0,0.0,88.0,360
Креветки Polar Premium свежемороженые,17.0,1.2,1.0,80
Креветки консервированные,17.8,1.1,0.0,81
Креветки Королевские,18.3,1.2,0.8,87
Креветки маринованные,12.2,1.3,0.0,60
Креветки отварные,18.9,2.2,0.0,95
Креветки очищенные замороженные,14.0,1.0,0.0,60
Креветки свежие,22.0,1.0,0.0,97
Креветки Тигровые,19.2,0.6,0.0,89
Крекер Tuc Cheezzz,8.5,24.2,57.5,485
Крекер Tuc Original,8.1,22.0,61.5,479
Крем для торта Dr. Oetker шоколадный,15.9,28.6,34.0,457
Крем кондитерский,0.2,26.0,16.5,300
Крендель,8.2,3.1,69.3,338
Кресс-салат,2.3,0.1,1.3,11
Кровянка,9.0,19.5,14.5,274
Крокодиловое мясо,26.0,0.7,0.0,110
Кролик,21.0,8.0,0.0,156
Кролик жареный,25.0,6.0,0.0,155
Кроличий фарш,19.5,7.4,0.7,147
Кроличьи почки,12.5,1.8,0.0,66
Кроличья печень,19.0,10.0,0.0,166
Круассан Черёмушки без начинки,8.0,28.8,41.6,461
Круассан Черёмушки с абрикосовой начинкой,5.5,19.7,47.0,390
Круассан Черёмушки с карамельной начинкой,6.4,21.2,40.3,379
Круассан Черёмушки с клубничной начинкой,5.5,19.7,47.0,390
Круассан Черёмушки с шоколадно-ореховой начинкой,6.3,28.3,46.2,465
Круассан Черёмушки со сливочной начинкой,5.7,28.5,46.2,467
Крутоны,10.1,9.7,71.7,426
Крыжовник,0.7,0.2,12.0,43
Ксилит,0.0,0.0,97.9,367
Кукумария,7.3,0.6,0.0,35
Кукуруза 4 сезона сладкая в зёрнах,11.4,4.2,38.6,238
Кукуруза Hortex,3.6,1.4,19.3,111
Кукуруза Бондюэль золотистая,3.2,1.0,18.6,96
Кукуруза Бондюэль сладкая в зёрнах,3.3,2.3,14.7,93
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке,3.9,1.3,22.0,115
Кукуруза варёная,4.1,2.3,22.5,123
Кукуруза мини,3.1,1.6,21.8,114
Кукуруза сладкая в початках,3.5,2.8,15.6,101
Кукуруза сладкая консервированная,3.9,1.3,22.7,119
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394
Кукурузная крупа,8.3,1.2,75.0,337
Кукурузные палочки,8.3,1.2,75.0,325
Кукурузные палочки сладкие,4.7,13.0,82.9,467
Кукурузные хлопья,6.9,2.5,83.6,363
Кулич пасхальный магазинный,5.5,15.8,43.3,331
Кумжа,16.7,3.6,0.0,104
Кумкват,1.9,0.9,9.4,71
Кумкват сушёный,3.8,0.0,80.1,284
Кумыс из кобыльего молока,2.1,1.9,5.0,50
Кумыс из коровьего молока,3.0,0.1,6.3,41
Кумыс из коровьего молока обезжиренный,1.5,0.1,2.1,15
Кунжут,19.4,48.7,12.2,565
Кунжут чёрный,19.4,48.4,12.2,565
Купырь (кервель),3.2,0.3,7.3,45
Курага,5.2,0.3,51.0,215
Куриная голень вареная без кожи,27.0,5.6,0.0,158
Куриная грудка,23.6,1.9,0.4,113
Куриная грудка вареная,29.8,1.8,0.5,137
Куриная грудка копченая,18.0,5.0,0.0,117
Куриная грудка на пару,23.6,1.9,0.0,113
Куриная кожа,18.0,15.6,0.0,212
Куриная печень,19.1,6.3,0.6,136
Куриная печень вареная,25.9,6.2,2.0,166
Куриная печень жареная,30.8,8.9,2.0,210
Куриное сердце,15.8,10.3,0.8,159
