,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Десерт итальянский Флоренция карамельный,3.6,17.2,53.0,376
1,,Торт Ассорти,4.7,14.9,36.1,294
2,,Торт Банкетный,3.9,19.5,45.3,367
3,,Торт Вензель мастера,5.0,12.0,38.1,274
4,,Торт Верона,5.0,19.8,39.3,350
5,,Торт Вивальди,4.3,12.8,52.6,340
6,,Торт Вишнёвый сад,3.0,15.6,36.2,298
7,,Торт Домашний с абрикосом,4.5,15.0,49.5,351
8,,Торт Ёжик,4.1,25.0,50.9,445
9,,Торт Зигзаг,6.2,16.8,37.2,311
10,,Торт Зимняя вишня,3.1,6.1,55.5,282
11,,Торт Золотой ключик,5.4,15.0,49.2,357
12,,Торт Изабелла,4.6,18.6,26.5,291
13,,Торт Искушение,7.6,21.4,59.9,442
14,,Торт Йогуртовый с клюквой,2.5,10.1,35.4,240
15,,Торт К торжеству,3.8,17.6,45.2,349
16,,Торт Карамелия,4.9,26.8,53.1,471
17,,Торт Кариока,6.7,20.5,47.4,401
18,,Торт Карусель,12.9,24.9,35.2,416
19,,Торт Королевский орех,7.7,27.5,29.5,396
20,,Торт Космический,6.6,27.6,58.6,462
21,,Торт Крем-брюле,5.4,13.4,36.5,285
22,,Торт Крепвиль Бель Шерри,2.9,15.5,35.7,297
23,,Торт Крепвиль Ле Нуар,3.4,17.9,36.1,322
24,,Торт Крепвиль Ля Форте,2.9,15.5,35.3,296
25,,Торт Крепвиль Шаттери,2.9,16.5,36.4,310
26,,Торт Легенда осени,3.9,13.7,39.2,289
27,,Торт Ленинградский,4.3,23.6,57.9,454
28,,Торт Лесной гость,4.1,21.7,43.0,377
29,,Торт Лилия,3.8,14.0,47.9,328
30,,Торт Маковый,11.4,37.4,40.2,543
31,,Торт Малиновый,6.1,24.2,37.8,411
32,,Торт Малиновый рай,3.2,17.8,48.1,365
33,,Торт Маска,4.7,16.3,49.7,357
34,,Торт Медовая сказка,6.4,24.8,54.7,467
35,,Торт Медовая фантазия с грецким орехом,3.3,23.8,58.3,460
36,,Торт Медовая фантазия с грушей,3.1,18.2,54.1,392
37,,Торт Медовая фантазия с черносливом,3.1,22.2,57.6,441
38,,Торт Медовик,6.0,29.0,48.9,478
39,,Торт Медовый от Палыча,5.4,26.3,42.4,428
40,,Торт на фруктозе вишневый,2.9,16.7,53.8,377
41,,Торт на фруктозе с крыжовником,2.9,16.6,54.5,379
42,,Торт на фруктозе с курагой,3.1,16.7,55.2,384
43,,Торт Наполеон от Палыча,5.9,32.7,23.8,413
44,,Торт Наполеон Черёмушки,6.4,42.2,38.7,558
45,,Торт Натюрморт,4.2,14.7,48.4,341
46,,Торт Нежный от Палыча,7.7,28.5,49.7,486
47,,Торт Нюанс,11.7,23.8,34.3,413
48,,Торт Ореховый от Палыча,8.5,32.4,42.7,496
49,,Торт От всей души,3.5,13.6,48.3,324
50,,Торт Отелло,5.9,15.4,55.9,379
51,,Торт Панчо,5.6,13.1,33.5,270
52,,Торт Персидская ночь,6.4,27.3,53.4,478
53,,Торт Пирамида,4.5,14.0,34.5,284
54,,Торт Подарочный,6.6,21.5,43.6,388
55,,Торт Полено,2.6,17.8,50.6,354
56,,Торт Полёт,5.7,24.8,55.4,456
57,,Торт Постный апельсиновый,5.5,8.0,12.8,145
58,,Торт Постный с лимоном и малиной,5.5,8.0,12.8,145
59,,Торт Постный с морковью и ананасами,5.5,8.0,12.8,145
60,,Торт Постный с морковью и мандаринами,5.5,8.0,12.8,145
61,,Торт Постный с орехами,6.2,9.1,13.0,159
62,,Торт Постный свекольный,5.5,8.0,12.8,145
63,,Торт Постный ягодный,5.5,8.0,12.8,145
64,,Торт Прага от Палыча,4.6,26.5,65.1,517
65,,Торт Прага Черёмушки,7.2,24.3,42.0,411
66,,Торт Прелесть Черемушки,3.9,20.0,48.3,417
67,,Торт Птичка,3.0,17.8,62.6,412
68,,Торт Птичка от Палыча ассорти,4.3,20.3,53.9,416
69,,Торт Птичка от Палыча классическая,3.2,16.9,54.4,383
70,,Торт Птичка от Палыча крем-брюле,4.1,21.1,48.4,400
71,,Торт Птичка от Палыча с халвой и мармеладом,5.5,24.5,59.2,479
72,,Торт Птичьи голоса,3.6,23.8,55.5,435
73,,Торт Радость,3.7,16.1,48.5,344
74,,Торт Райский сад,3.3,8.7,43.4,264
75,,Торт Роза,4.0,18.1,59.7,404
76,,Торт Ром и шоколад,6.8,23.3,49.7,436
77,,Торт Рыжик,5.4,26.2,46.1,436
78,,Торт С черносливом,4.5,22.7,31.0,346
79,,Торт С черносливом и с курагой,4.5,22.7,42.5,392
