name,protein,fats,carbs,calories
Десерт Макфлурри Де Люкс карамельно-шоколадный,7.0,10.0,71.0,400
Десерт Макфлурри Де Люкс клубнично-шоколадный,6.0,8.0,61.0,340
Десерт Макфлурри с рисовыми шариками,6.0,8.0,61.0,340
Десерт Макфлурри с шоколадно-вафельной крошкой,6.0,8.0,40.0,280
Десерт Маффин с чёрной смородиной,5.0,18.0,47.0,370
Десерт Маффин с шоколадом,6.0,12.0,55.0,350
Десерт Мороженое Айс Дрим Клубника или Шоколад KFC,3.6,3.4,32.0,173
Десерт Мороженое в рожке Летнее KFC,4.4,3.9,25.3,154
Десерт Мороженое Летняя фантазия Клубничное KFC,3.5,3.5,30.5,167
Десерт мороженое Рожок Бургер Кинг,4.2,4.2,25.5,157
Десерт Мороженое с карамелью,5.0,7.0,60.0,325
Десерт Мороженое с клубникой,5.0,5.0,50.0,265
Десерт Мороженое с шоколадом,6.0,9.0,52.0,315
Десерт Пирожок Хот Пай Дуэт Вишня и Шоколад KFC,7.5,29.8,58.3,531
Десерт Чизкейк Нью Йорк Карамель KFC,6.8,21.2,32.1,346
Десерт Чизкейк Нью Йорк Клубника KFC,5.2,20.3,34.1,339
Десерт Чизкейк Нью Йорк Шоколад KFC,5.5,20.7,33.1,341
Джезерье из граната,2.0,2.9,87.0,381
Джекфрут (плод хлебного дерева),1.4,0.3,22.4,94
Джем апельсиновый,0.8,0.4,63.0,268
Джем банановый,0.1,0.0,59.2,215
Джем брусничный,0.8,0.7,59.0,250
Джем вишневый,0.0,0.0,56.5,226
Джем клубничный,0.0,0.0,65.0,272
Джем малиновый,0.7,0.4,23.9,106
Джем мандариновый,0.3,0.0,70.8,276
Джем персиковый,0.5,0.0,66.8,258
Джем сливовый,0.4,0.3,73.2,288
Джем черничный,0.4,0.2,53.1,214
Джем яблочный,0.0,0.0,24.0,245
Джин,0.0,0.0,0.0,220
Джин-тоник,0.0,0.0,6.7,78
Дичь,34.0,6.5,0.0,200
Дождевики,4.3,1.0,1.0,27
Дорадо,18.0,3.0,0.0,96
Дорадо терияки,9.9,5.7,3.4,105
Драже Maltesers,8.1,24.3,61.7,500
Драже Milka Clusters Bitz,5.4,22.0,62.1,470
Драже Milka Lila Stars Bitz,7.7,35.5,50.0,555
Драже арахис с мёдом и кунжутом,16.8,36.4,33.4,528
Драже Воздушный Криспелло,5.4,27.1,62.7,520
Драже Грильяж в шоколаде,5.7,16.7,70.1,445
Драже жевательные Mentos,0.0,2.0,93.0,390
Драже Изюм в шоколаде,3.6,8.9,73.2,379
Драже ореховое,11.9,38.3,44.2,552
Драже Тик Так,0.2,0.6,96.7,397
Драже фруктовое в шоколаде,3.7,10.2,76.3,389
Дрожжи,12.7,2.7,0.0,75
Дрожжи пивные,12.7,2.7,0.0,75
Дрожжи прессованные,12.7,2.7,8.5,109
Дрожжи сухие быстродействующие Саф-момент,49.0,6.0,40.0,410
Дуриан,1.5,5.3,23.3,147
Душица (орегано),1.5,0.0,5.0,25
Дыня,0.6,0.3,7.4,33
Дыня медовая,0.6,0.3,7.4,33
Дыня сушеная,0.7,0.1,82.2,341
Дягиль,4.2,2.4,3.1,10
Ежевика,2.0,0.0,6.4,31
Ежевика 4 сезона,2.1,0.4,4.6,31
Ежевика Hortex,2.0,0.0,3.8,23
Ёрш,17.5,2.0,0.0,88
Жасмин,0.1,0.0,0.0,1
Желатин Dr.Oetker пищевой,84.0,0.0,0.0,336
Желатин листовой,85.0,0.5,0.0,336
Желатин пищевой,87.2,0.4,0.7,355
Желе Dr.Oetker со вкусом Апельсина,13.1,0.0,80.4,374
Желе Dr.Oetker со вкусом Вишни,13.1,0.0,80.3,374
Желе Dr.Oetker со вкусом Клубники,14.0,0.0,80.0,388
Желе Dr.Oetker со вкусом Лесных ягод,13.1,0.0,80.3,374
Желе Dr.Oetker со вкусом Лимона,13.1,0.0,80.7,375
Желе Dr.Oetker со вкусом Малины,13.1,0.0,80.4,374
Желе апельсиновое,2.8,0.0,20.3,88
Желе вишневое,2.8,0.0,14.0,56
Желе для торта,2.8,0.0,20.3,88
Желе из киви,2.5,0.0,15.6,69
Желе клубничное,2.5,0.0,15.6,69
Желе лимонное,2.8,0.0,20.3,88
Желе молочное,2.7,1.2,2.4,32
Желе яблочное,2.5,0.0,15.6,69
Желтохвост (лакедра),21.0,16.0,0.0,240
