name,protein,fats,carbs,calories
Сбитень,0.2,0.7,13.5,58
Свекла,1.5,0.1,8.8,43
Свекла Бондюэль в кубиках в кисло-сладком маринаде,0.8,0.1,6.5,30
Свекла варёная,1.8,0.0,10.8,49
Свекла жёлтая,1.5,0.1,9.1,50
Свекла квашеная,1.3,0.0,6.0,32
Свекла консервированная,0.9,0.1,5.4,31
Свекла с орехами готовая,3.2,20.0,8.6,225
Свекла с сыром готовая,1.9,13.4,9.1,162
Свекла сушеная,9.0,0.6,56.6,254
Свекла тушеная,2.7,5.5,12.2,106
Свекольная ботва,2.1,0.5,5.5,17
Свекольник,0.5,2.0,4.2,36
Свекольный сок,1.0,0.0,9.9,42
Свиная вырезка,19.4,7.1,0.0,142
Свиная грудинка без кости,10.1,53.0,0.0,510
Свиная грудинка с костью,21.0,10.0,0.0,174
Свиная лопатка,16.0,21.7,0.0,257
Свиная нога жареная,27.0,20.0,0.0,290
Свиная печень,22.0,3.4,2.6,130
Свиная рулька со шкурой,18.6,24.7,0.0,294
Свиная тушенка,13.0,35.0,0.0,367
Свиная шейка,13.6,31.9,0.0,343
Свиная шкурка,18.0,16.0,0.0,216
Свиная щековина,6.4,69.6,0.0,494
Свиная щековина копченая,9.1,67.1,0.5,625
Свинина,16.0,21.6,0.0,259
Свинина вареная,22.6,31.6,0.0,375
Свинина жареная,11.4,49.3,0.0,489
Свинина постная,19.4,7.1,0.0,160
Свинина тушеная,9.8,20.3,3.2,235
Свинина тушеная Скопино,13.0,35.0,0.0,367
Свиное сердце,16.9,4.8,2.2,118
Свиной балык,15.4,24.9,0.0,286
Свиной край на гриле,21.0,35.0,0.0,400
Свиной окорок,18.0,21.3,0.0,261
Свиной окорок копчено-вареный (Ашан),14.0,26.0,0.0,306
Свиной ошеек,16.1,22.8,0.0,267
Свиной подгрудок,7.4,67.8,0.0,630
Свиной фарш,17.0,21.0,0.0,263
Свиной шпик,1.4,92.8,0.0,841
Свиной язык,16.5,11.1,0.0,165
Свиные легкие,14.1,2.7,0.0,85
Свиные легкие тушеные,16.6,3.1,0.0,99
Свиные ноги,18.0,16.0,0.0,216
Свиные отбивные на гриле,28.0,24.0,0.0,340
Свиные почки,16.8,3.8,0.0,102
Свиные ребра,15.2,29.3,0.0,321
Свиные ребра копчено-вареные,10.0,55.0,0.0,535
Свиные ребра копченые,10.0,52.7,0.0,514
Свиные уши,21.0,14.1,0.0,211
Свити,0.7,0.2,9.0,58
Сгущенка Главпродукт вареная с сахаром,5.8,8.5,53.9,315
Сдоба Сормовская Черёмушки,7.6,9.2,58.6,348
Севрюга в томатном соусе,16.1,11.5,2.8,179
Севрюга свежая,17.0,11.8,,160
Сейтан,55.8,3.5,20.3,307
Сельдерей,0.9,0.1,2.1,12
Сельдерей (корень),1.3,0.3,6.5,32
Сельдерей (корень) сушеный,7.8,2.0,36.6,186
Сельдь в растительном масле,16.4,26.5,,301
Сельдь в сметане,5.5,6.2,5.3,97
Сельдь в томатном соусе,13.8,9.7,4.6,159
Сельдь горячего копчения,21.8,14.3,,215
Сельдь консервированная,17.5,2.0,0.0,88
Сельдь маринованная,16.5,12.6,3.4,192
Сельдь под шубой готовая,5.1,16.2,7.3,193
Сельдь свежая,16.3,10.7,,161
Сельдь соленая,19.8,15.4,0.0,217
Сёмга (брюшки),25.0,24.0,0.0,310
Сёмга (хребты),20.0,8.1,0.0,153
Сёмга копченая,22.5,12.5,0.0,202
Сёмга на гриле,21.8,14.1,,230
Сёмга на пару,19.3,14.0,,197
Сёмга отварная,22.5,12.5,,189
Семга под шубой готовая,18.0,24.5,4.3,310
Сёмга свежая,21.6,6.0,,140
Сёмга слабосоленая Русское море филе-кусок,23.0,13.0,,195
Семена горчицы,25.8,30.8,23.4,474
Семена конопли,20.0,32.5,14.0,429
