name,protein,fats,carbs,calories
Конина жареная,34.3,17.4,0.0,293
Конина тушеная,25.0,12.7,0.0,214
Конкильони,10.4,1.1,71.5,344
Конфеты Ferrero Rocher,8.8,41.3,43.2,580
Конфеты Haribo Chamallows,3.5,0.5,80.0,332
Конфеты Raffaello,9.3,47.8,38.8,623
Конфеты Rondo с ароматом мяты,0.6,0.0,98.4,405
Конфеты Бабаевский Белочка,8.8,33.1,53.4,538
Конфеты батончики Рот-Фронт,10.7,29.5,53.2,514
Конфеты Визит,9.0,35.0,51.0,549
Конфеты грильяжные,5.3,26.9,65.6,523
Конфеты Коровка сливочная,2.7,4.4,82.4,351
Конфеты кремовые,7.5,31.8,55.8,523
Конфеты Курага Петровна,5.0,14.8,57.0,312
Конфеты лакричные,3.7,10.0,69.0,385
Конфеты Марсианка Чизкейк,2.5,14.2,63.8,375
Конфеты молочные,2.7,4.3,82.3,364
Конфеты помадные,2.2,4.6,83.6,369
Конфеты Славянка Золотой степ глазированные арахис карамель,10.0,27.4,51.4,498
Конфеты Славянка Лёвушка,1.0,7.4,74.4,371
Конфеты Спринт с печеньем,4.9,21.7,67.3,420
Конфеты фруктовые,1.6,8.6,75.8,369
Конфеты шоколадные,4.0,39.5,54.2,569
Конфитюр,0.9,0.2,40.3,183
Коньяк,0.0,0.0,0.1,239
Коньячная эссенция,0.0,0.0,0.0,
Корейка,13.7,36.5,,384
Корейка копчено-запеченная,10.2,48.2,,475
Корейка свиная б/к (карбонад),17.0,25.0,,301
Корейка сырокопченая,10.5,47.4,,469
Коржи бисквитные готовые,5.9,0.8,56.3,258
Коржи вафельные,10.2,4.2,65.7,341
Коржи для медовика,6.3,11.4,64.5,384
Кориандр,1.5,0.0,5.0,25
Кориандр молотый,12.3,17.7,13.1,298
Корица,3.9,3.2,79.8,261
Корлан,0.7,0.2,18.0,82
Корюшка,15.4,4.5,0.0,102
Котлеты из баранины отбивные,20.6,30.6,9.1,394
Котлеты из баранины рубленые,13.6,14.8,12.9,240
Котлеты из говядины,18.0,20.0,,260
Котлеты из говядины рубленые,14.2,11.4,13.0,213
Котлеты из индейки,18.6,12.2,8.7,220
Котлеты из курицы (готовые),18.2,10.4,13.8,222
Котлеты из мяса цыплят рубленые,15.2,13.6,13.5,238
Котлеты из свинины отбивные,17.5,40.3,8.8,470
Котлеты из свинины рубленые,13.6,45.7,,466
Котлеты из свинины сырые,27.3,13.4,,238
Котлеты из телятины,23.0,31.0,,375
Котлеты из трески,12.6,5.9,15.0,164
Кофе Maxwell House гранулированный сухой,14.6,0.0,10.3,100
Кофе Maxwell House растворимый сухой,14.6,0.0,10.3,100
Кофе жареный в зёрнах сухой,13.9,14.4,15.6,223
Кофе зелёный сухой,12.3,0.2,35.7,222
Кофе латте макиато,1.5,1.4,2.0,29
Кофе Леовит Худеем за неделю Капуччино для похудения жиросжигающий комплекс,6.0,15.0,84.0,500
Кофе мокаччино,2.8,10.6,46.5,289
Кофе натуральный молотый сухой,13.9,14.4,4.1,201
Кофе по-ирландски,0.0,4.5,4.0,114
Кофе Президент молотый сухой,13.9,14.4,2.8,218
Кофе растворимый сухой,15.0,3.5,0.0,94
Кофе с молоком и сахаром,0.7,1.0,11.2,58
Кофе со сгущенным молоком,0.7,0.9,10.9,55
Кофе со сгущенным молоком и сахаром,0.6,0.6,13.6,62
Кофе черный,0.2,0.0,0.3,2
Кофе Чибо растворимый сухой,18.1,0.7,46.3,264
Кофейный напиток,6.0,4.8,71.2,337
Кофейный напиток iCafe Iced French Vanilla Coffe,1.0,1.2,7.1,43
Кофейный напиток iCafe Iced Mocha,1.2,1.2,9.2,52
Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1,3.0,8.0,86.0,420
Кофейный напиток Nescafé Xpress Choko Latte,1.4,1.2,8.3,52
Кофейный напиток Nescafé Xpress Vanilla,1.4,1.3,8.3,51
Краб голубой,18.1,1.1,0.0,87
Краб камчатский,18.3,0.6,0.0,84
Крабовая колбаса,15.2,0.9,6.8,99
Крабовое мясо,6.0,1.0,10.0,73
Крабовое мясо Мирамар,15.4,6.9,4.0,140
Крабовое мясо Санта Бремор,4.9,1.7,12.3,84
Крабовые палочки,6.0,1.0,10.0,73
Крабовые палочки Vici сочные,6.0,1.0,10.0,73
