,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Рис Мистраль Акватика Color Mix,8.8,2.3,72.8,356
1,,Рис Мистраль Акватика Дикий,14.0,0.5,72.0,357
2,,Рис Мистраль круглозерный,0.1,0.4,79.5,355
3,,Рис Мистраль пропаренный,7.1,0.7,79.3,361
4,,Рис Мистраль Самарканд красный круглозерный,8.0,0.5,75.8,320
5,,Рис нешлифованный вареный,2.7,0.7,36.0,125
6,,Рис Нишики,7.0,2.0,56.0,277
7,,Рис Пассим круглозёрный Приморский,7.0,1.0,74.0,333
8,,Рис полированный,7.0,1.0,71.4,330
9,,Рис рассыпчатый,2.4,0.2,24.9,113
10,,Рис Фушигон,7.0,0.6,77.3,340
11,,Рисовая каша на воде,1.5,0.1,17.4,78
12,,Рисовая каша на молоке,2.5,3.1,16.0,97
13,,Рисовая манка Гарнец безглютеновая,7.0,0.5,78.0,340
14,,Рисовые отруби,13.4,20.9,28.9,316
15,,Рисовые хлопья,7.0,2.0,77.0,360
16,,Рисовые хлопья Myllyn Paras,7.0,1.0,77.0,360
17,,Рисовые хлопья Myllyn Paras для каши,7.0,1.0,77.0,360
18,,Рожь (зерна),9.9,2.2,55.8,283
19,,Саго,1.0,0.7,85.0,350
20,,Смесь Bravolli суповая,18.0,1.5,60.0,330
21,,Смесь из 3-х видов отрубей Myllyn Paras,16.6,6.1,34.1,255
22,,Сорго зерновое,11.8,3.3,66.4,323
23,,Талкан пшеничный,11.5,1.3,64.0,324
24,,Талкан-шифа 4 злака,10.6,2.7,60.5,309
25,,Теф,13.3,2.4,73.1,367
26,,Толокно,12.5,6.0,64.9,363
27,,Толокно овсяное Гарнец,12.2,5.8,68.3,357
28,,Тритикале,12.8,2.1,54.5,274
29,,Хлопья 4-х зерновые Myllyn Paras,11.4,2.8,51.1,320
30,,Хлопья Nestle Fitness из цельной пшеницы,8.3,2.0,76.4,357
31,,Хлопья Nestle Fitness с тёмным шоколадом,8.0,6.7,72.9,384
32,,Хлопья Nestle Fitness с фруктами,6.4,2.6,75.7,352
33,,Хлопья Агро-Альянс 4 злака,12.0,3.0,73.0,370
34,,Хлопья Агро-Альянс 5 злаков,12.0,5.0,70.0,380
35,,Хлопья красной чечевицы Myllyn Paras,25.0,0.0,52.0,320
36,,Хлопья Макфа 4 злака,10.0,2.0,77.0,360
37,,Хлопья Мистраль смесь 5 злаков,10.1,3.8,76.3,365
38,,Хлопья Пассим Три злака,10.0,3.6,63.0,334
39,,Хлопья Пассим Четыре злака,10.3,3.2,61.0,322
40,,Хлопья Увелка 5-ти зерновые тонкие,11.0,2.0,75.0,360
41,,Хлопья Царь 5 злаков,10.2,1.5,73.2,308
42,,Ячменная каша,11.5,2.0,65.8,310
43,,Ячменная крупа,10.0,1.3,71.7,324
44,,Ячменные хлопья,9.8,3.6,79.4,355
45,,Ячменные хлопья Myllyn Paras,11.0,2.0,63.0,320
46,,Ячневая каша на воде,2.3,0.3,15.7,76
47,,Ячневая каша на молоке,3.6,2.0,19.8,111
48,,Ячневая крупа,10.4,1.3,66.3,324
