,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Айсинг,2.3,0.0,78.8,305
1,,Батончик Corny Big злаковый с бананом и шоколадом,6.1,15.2,65.6,424
2,,Батончик Corny Big злаковый с клюквой,5.9,7.4,71.4,377
3,,Батончик Corny Big злаковый с лесными орехами,6.4,15.6,63.2,419
4,,Батончик Corny Big злаковый с шоколадом,7.0,17.0,62.9,433
5,,Батончик Nestle Fitness с цельными злаками и клубникой,5.8,6.7,68.9,369
6,,Батончик мюсли Ego с бананом в шоколаде,5.0,13.5,68.0,416
7,,Батончик мюсли Ego с вишней в йогурте,6.0,14.0,56.0,416
8,,Батончик мюсли Ego с клубникой в йогурте,4.0,14.5,67.5,418
9,,Батончик мюсли Ego с лесными ягодами в йогурте,4.0,13.5,69.5,418
10,,Батончик мюсли Ego с черникой в йогурте,5.5,14.0,67.5,420
11,,Батончик мюсли Tekmar клубника в йогурте,4.5,16.8,70.7,452
12,,Батончик Пульсар с миндалем в шоколадной глазури,6.3,13.9,58.8,385
13,,Батончик Сладкий мир фруктовый хлеб банановый,6.8,9.6,59.9,352
14,,Батончик фруктовый Joyfield с абрикосом в шоколаде,9.8,0.6,72.3,352
15,,Батончик фруктовый Joyfield с абрикосом и яблоком,3.7,0.3,74.8,282
16,,Батончик фруктовый Joyfield с лимонником и папайей,4.1,0.3,77.0,302
17,,Батончик фруктовый Joyfield с полевой клубникой,4.5,0.4,75.4,286
18,,Батончик фруктовый Joyfield с черникой,4.5,0.4,73.3,273
19,,Батончик фруктовый Joyfield с черносливом в шоколаде,7.8,1.0,67.7,340
20,,Батончик фруктовый Joyfield с черносливом и ананасом,3.4,0.5,75.1,314
21,,Батончик фруктовый Joyfield с черносливом и яблоком,2.1,0.5,70.2,280
22,,Баурсак,6.8,2.6,45.8,234
23,,Бисквитник Сдобная особа медовый с вареной сгущенкой,5.3,19.6,46.1,378
24,,Бисквитник Сдобная особа с начинкой маракуйя,3.9,17.2,51.5,375
25,,Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.3,18.3,48.5,378
26,,Варенье из абрикосов,0.0,0.0,62.0,236
27,,Варенье из айвы,0.4,0.2,70.6,273
28,,Варенье из апельсинов,2.6,0.5,70.0,245
29,,Варенье из брусники,0.2,0.1,64.6,244
30,,Варенье из вишни,0.0,0.0,64.0,256
31,,Варенье из груши,0.3,0.2,70.8,273
32,,Варенье из дыни,0.3,0.1,44.7,197
33,,Варенье из земляники,0.3,0.1,58.0,219
34,,Варенье из инжира,0.0,0.0,62.0,236
35,,Варенье из кабачков,0.3,0.1,48.9,196
36,,Варенье из клубники,0.3,0.1,74.0,285
37,,Варенье из лимонов,0.0,0.0,60.0,240
38,,Варенье из малины,0.6,0.2,70.4,273
39,,Варенье из мандаринов,0.7,0.2,75.9,294
40,,Варенье из облепихи,0.7,3.7,34.4,165
41,,Варенье из одуванчиков,0.6,0.1,48.0,191
42,,Варенье из персиков,0.5,0.0,66.8,258
43,,Варенье из ревеня,0.5,0.5,82.4,314
44,,Варенье из сливы,0.4,0.3,74.2,288
45,,Варенье из тёрна,0.0,0.0,62.0,248
46,,Варенье из черники,0.4,0.2,56.1,214
47,,Варенье из чёрной смородины,0.6,0.1,72.9,284
48,,Варенье из черноплодной рябины,0.4,0.0,74.8,387
49,,Варенье из яблок,0.4,0.3,68.2,265
50,,Вафли венские с карамелью,8.1,19.4,53.3,424
51,,Вафли венские со взбитыми сливками,4.8,23.3,50.5,489
52,,Вафли с жирной начинкой,3.4,30.2,64.7,539
53,,Вафли с фруктовой начинкой,3.2,2.8,80.9,350
54,,Вафли Сдобная особа домашние с изюмом,7.9,21.7,55.8,452
55,,Вафли Сдобная особа домашние сахарные,8.2,23.1,54.4,459
56,,Вафли Сдобная особа мягкие с суфле классические,5.5,23.9,52.2,446
57,,Вафли Сдобная особа мягкие с суфле со вкусом пломбира,5.5,23.9,52.2,446
58,,Вафли Яшкино с карамельной начинкой,6.0,15.2,67.9,430
59,,Галеты Nordic из овса с брусникой,9.0,14.0,61.0,420
60,,Галеты Любятово классические,11.1,1.2,76.0,365
61,,Ганаш,4.9,34.5,52.5,542
62,,Ганаш белый,3.9,37.2,48.9,547
63,,Ганаш шоколадный,4.9,34.5,52.5,542
64,,Гематоген,6.0,3.0,75.7,354
65,,Гематоген Русский детский,3.5,2.9,75.6,343
66,,ГематогенКА,4.9,11.5,81.0,425
67,,Десерт Alpro Soya ванильный,3.0,1.8,12.7,80
68,,Десерт Konti Bonjour ванильный,4.0,20.1,63.6,443
69,,Джезерье из граната,2.0,2.9,87.0,381
70,,Джем апельсиновый,0.8,0.4,63.0,268
71,,Джем банановый,0.1,0.0,59.2,215
72,,Джем брусничный,0.8,0.7,59.0,250
73,,Джем вишневый,0.0,0.0,56.5,226
74,,Джем клубничный,0.0,0.0,65.0,272
75,,Джем малиновый,0.7,0.4,23.9,106
76,,Джем мандариновый,0.3,0.0,70.8,276
77,,Джем персиковый,0.5,0.0,66.8,258
78,,Джем сливовый,0.4,0.3,73.2,288
79,,Джем черничный,0.4,0.2,53.1,214
