name,protein,fats,carbs,calories
Мука пшеничная 2-го сорта,11.7,1.8,63.7,324
Мука пшеничная высшего сорта,10.3,1.1,68.9,334
Мука пшеничная высшего сорта Myllyn Paras,12.7,2.0,69.5,350
Мука пшеничная из твёрдых сортов Durum,10.4,1.1,71.5,344
Мука пшеничная из цельносмолотого зерна Рязаночка,11.3,1.7,75.0,360
Мука пшеничная цельнозерновая,11.5,2.2,55.8,298
Мука пшеничная цельнозерновая С.Пудовъ,10.0,1.0,70.0,380
Мука пшенично-отрубная Дивинка,11.5,2.2,58.7,208
Мука ржаная грубого помола,9.4,2.3,55.9,280
Мука ржаная обдирная,9.0,1.0,73.0,325
Мука ржаная обойная,10.7,1.9,56.8,293
Мука ржаная Рязаночка,8.9,1.7,61.8,298
Мука ржаная сеяная,6.9,1.4,67.3,304
Мука рисовая Гарнец,7.0,0.6,77.3,321
Мука рисовая диетическая,7.4,0.6,82.0,371
Мука рисовая С.Пудовъ,7.0,1.0,79.0,260
Мука соевая необезжиренная,36.5,18.6,17.9,385
Мука соевая обезжиренная,48.9,1.0,21.7,291
Мука соевая полуобезжиренная,43.0,9.5,19.1,334
Мука тритикале,13.2,1.8,73.1,338
Мука тыквенная,33.0,9.0,23.0,305
Мука чечевичная,28.0,1.0,56.0,321
Мука ячменная,10.0,1.6,56.1,284
Муксун,17.5,2.0,0.0,88
Мультизлаковая каша Малютка молочная с печеньем,13.3,11.7,66.5,431
Мультизлаковая каша Малютка молочная с фруктами и овсянкой,12.2,14.2,67.1,445
Мультизлаковая кашка ФрутоНяня молочная жидкая,2.1,2.0,9.9,64
Мускатный орех,20.0,50.0,7.0,556
Мускатный орех молотый,20.0,50.0,7.0,555
Мускатный цвет (мацис),6.7,32.3,30.3,475
Мушмула германская,0.0,0.0,12.0,53
Мушмула японская,0.4,0.2,10.4,47
Мюсли AXA хрустящие медовые с фруктами и орехами,7.8,13.1,56.7,376
Мюсли Horeca Select с фруктами и орехами,11.4,7.8,56.7,363
Мюсли Vitalis фруктовые,7.8,4.6,61.1,317
Мюсли Vitalis шоколадные,10.0,13.0,62.0,400
Мюсли Бон,8.8,5.1,62.6,333
Мюсли Эпоха злаков Фруктовый сад,9.3,4.4,63.0,328
Мясо косули,21.4,6.0,0.0,138
Мясо криля,17.5,1.8,2.8,97
Мясо соевое,52.0,1.0,17.6,296
Мясо цыпленка в собственном соку,15.0,16.0,0.0,204
Мята свежая,3.7,0.4,8.0,49
Мята сушеная,19.9,6.0,22.2,285
Мятная настойка,0.0,0.0,6.4,250
Мятная эссенция,0.0,0.0,0.0,
Набор для глинтвейна Глинтмейстер Красная жара,7.0,9.0,63.0,310
Навага,16.1,1.0,0.0,73
Навага беломорская,19.2,1.6,0.0,91
Навага дальневосточная,15.1,0.9,0.0,68
Наггетсы куриные Мираторг классические,13.3,10.8,15.1,211
Наггетсы куриные Мираторг с ветчиной,13.3,13.1,14.5,229
Наггетсы куриные Мираторг с сыром,12.3,11.8,15.8,219
Наггетсы куриные Мираторг с сыром и грибами,13.0,12.4,15.7,226
Наггетсы куриные Мираторг хрустящие,12.9,12.1,15.6,223
Налим (печень),4.2,65.7,1.2,613
Налим отварной,21.4,0.7,0.0,92
Налим свежий,18.8,0.6,0.0,80
Напиток 7UP Бургер Кинг,0.0,0.0,10.7,43
Напиток Aqua Minerale Active,0.0,0.0,4.5,18
Напиток BonAqua Viva,0.0,0.0,4.6,19
Напиток BSN Syntha-6 Protein Shake,5.7,1.2,2.9,45
Напиток Dymatize Elite Liquid Protein,22.3,0.0,0.0,89
Напиток FortiCare со вкусом апельсин-лимон,9.0,5.3,19.1,160
Напиток FortiCare со вкусом капучино,9.0,5.3,19.1,160
Напиток FortiCare со вкусом персик-имбирь,9.0,5.3,19.1,160
Напиток Herbalife Восстановление выносливости,20.0,0.8,72.0,376
Напиток Herbalife Гидратация,0.2,0.0,13.2,226
Напиток Herbalife Овсяно-Яблочный,1.9,0.5,10.1,207
Напиток Herbalife Повышение выносливости,11.3,0.3,79.5,373
Напиток Mirinda Бургер Кинг,0.0,0.0,12.2,49
Напиток Nestea Vitao Белый чай со вкусом абрикоса,0.0,0.0,6.3,26
Напиток Nestea Vitao Зеленый чай со вкусом клубники и Алое Вера,0.0,0.0,7.5,32
Напиток Nestea Вкус лесных ягод,0.0,0.0,7.8,33
Напиток Nestea Вкус лимона,0.0,0.0,7.5,31
Напиток Nestea Вкус персика,0.0,0.0,6.8,29
Напиток Nutridrink Compact Fibre со вкусом кофе,9.4,10.4,25.2,240
Напиток Nutridrink Compact Protein со вкусом банана,14.4,9.4,24.4,240
Напиток Nutridrink Compact Protein со вкусом ванили,14.4,9.4,24.4,240
Напиток Nutridrink Compact Protein со вкусом клубники,14.4,9.4,24.4,240
