name,protein,fats,carbs,calories
Напиток Nutridrink Compact Protein со вкусом кофе,14.4,9.4,24.4,240
Напиток Nutridrink Compact Protein со вкусом персик-манго,14.4,9.4,24.4,240
Напиток Nutridrink Compact с нейтральным вкусом,9.6,9.3,29.7,240
Напиток Nutridrink со вкусом банана,6.0,5.8,18.4,150
Напиток Nutridrink со вкусом ванили,6.0,5.8,18.4,150
Напиток Nutridrink со вкусом клубники,6.0,5.8,18.4,150
Напиток Nutridrink со вкусом шоколада,6.0,5.8,18.4,150
Напиток Pepsi Бургер Кинг,0.0,0.0,10.8,43
Напиток Renilon со вкусом абрикоса,7.5,10.0,20.0,200
Напиток Renilon со вкусом карамели,7.5,10.0,20.0,200
Напиток Апельсиновый сок McDonalds 400 мл,3.0,1.0,41.0,190
Напиток Двойной Эспрессо McDonalds,0.2,0.1,0.2,3
Напиток Капучино McDonalds 300 мл,6.0,7.0,9.0,125
Напиток Кока-Кола McDonalds 400 мл,0.0,0.0,42.0,170
Напиток Кока-Кола Лайт McDonalds 400 мл,0.4,0.0,0.0,2
Напиток Кофе McDonalds 200 мл,0.6,0.2,0.6,7
Напиток кофе Бургер Кинг,0.0,0.0,0.0,
Напиток Кофе Глясе McDonalds,4.0,3.0,19.0,125
Напиток Кофе Капучино KFC 300 мл,1.8,1.1,10.6,60
Напиток кофе Капучино Бургер Кинг,1.4,1.8,2.4,31
Напиток Кофе Латте McDonalds,6.0,7.0,10.0,125
Напиток кофе Латте Бургер Кинг,1.4,1.8,2.4,32
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Молочный шейк (ванильный) Бургер Кинг,3.9,4.0,23.4,145
Напиток Спрайт McDonalds 400 мл,0.4,0.0,41.0,165
Напиток Фанта McDonalds 400 мл,0.4,0.0,46.0,185
Напиток чай (зеленый и черный) Бургер Кинг,0.0,0.0,0.0,
Напиток Чай чёрный/зелёный McDonalds,0.0,0.0,0.0,
Насу тёмире,2.9,4.5,7.4,82
Нектар Бабушкино Лукошко Яблоко Груша,0.0,0.0,12.0,48
Нектар из маракуйи,0.2,0.0,9.8,41
Нектар тыквенный Удачный,0.0,0.0,12.0,48
Нектар ФрутоНяня из бананов с мякотью,0.0,0.0,12.0,48
Нектар ФрутоНяня из яблок и вишни с мякотью,0.0,0.0,12.0,48
Нектар ФрутоНяня Яблоко-слива с мякотью,0.0,0.0,12.0,48
Нектарин,0.9,0.2,11.8,48
Нектариновый нектар,0.1,0.0,12.8,53
Нектариновый сок,0.4,0.0,8.6,37
Нельма,22.3,2.8,0.0,115
Нерка,20.3,8.4,0.0,157
Нинику эби,8.2,13.4,5.8,177
Нойна (Сахарное яблоко),0.4,0.4,9.8,47
Нони,0.1,0.3,10.0,44
Нототения,15.7,9.5,0.0,148
Нуга Пеко Арахисовая,7.1,10.6,72.2,404
Нуга с миндалем и клюквой,6.0,22.0,60.0,465
Нуга с орехами и цукатами,6.5,16.0,65.0,430
Нут,19.0,6.0,61.0,364
Нут Fresh Food отварной,9.0,0.0,19.0,140
Нут Агро-Альянс,19.9,5.2,65.9,390
Нут Бондюэль На пару,6.4,2.2,14.7,120
Нут вареный,8.3,1.9,19.3,127
Нут Ярмарка Платинум,20.1,4.3,55.1,320
Облепиха,1.2,5.4,5.7,82
Облепиха Hortex,1.2,5.4,5.7,82
Облепиховый сок,0.6,3.4,4.3,52
Овощи,2.5,0.1,5.0,31
Овощи Бондюэль для супа из шампиньонов,0.3,0.3,6.0,22
Овощи для жарки Hortex,2.1,1.7,8.5,63
Овощи для жарки Hortex с приправой по-восточному,2.2,0.3,4.5,37
Овощи для жарки Hortex с приправой по-итальянски,2.4,0.5,6.7,47
Овощи для жарки Hortex с пряными травами и перцем,2.1,1.5,11.1,71
Овощи для жарки Hortex с рисом и шампиньонами,2.8,0.4,10.0,60
Овощи для жарки Hortex с укропом,2.2,1.5,8.4,61
Овощи для жарки Краски лета,2.4,0.0,10.8,53
Овощная смесь 4 сезона Весенние овощи,2.9,0.3,10.0,54
Овощная смесь 4 сезона Восточная,2.7,0.4,7.5,44
Овощная смесь 4 сезона Гавайская,3.7,1.2,24.8,125
Овощная смесь 4 сезона Грибное жаркое с гречкой,4.3,0.9,15.9,85
Овощная смесь 4 сезона Грибы с картошкой,2.0,0.5,7.4,40
Овощная смесь 4 сезона Гювеч,1.4,0.1,5.2,51
Овощная смесь 4 сезона Итальянская,5.4,0.9,22.0,114
Овощная смесь 4 сезона Калифорния,7.6,1.6,42.6,154
Овощная смесь 4 сезона Китайская,2.3,1.2,3.9,34
Овощная смесь 4 сезона Летние овощи,3.5,0.3,7.5,47
Овощная смесь 4 сезона Лечо,1.2,0.1,5.3,27
Овощная смесь 4 сезона Мексиканская,3.4,0.9,16.4,87
Овощная смесь 4 сезона Мусака,1.5,0.2,8.1,40
Овощная смесь 4 сезона Овощи для жарки с шампиньонами,4.9,1.2,2.1,39
