name,protein,fats,carbs,calories
Пирожное Choco-Pie,3.6,16.1,70.9,430
Пирожное Kinder Delice с молочной начинкой,5.9,29.0,42.6,455
Пирожное Kinder молочный ломтик,8.2,27.9,34.0,420
Пирожное Воздушное,3.1,16.3,68.5,419
Пирожное Йогуртовое,7.0,24.6,26.1,352
Пирожное Кармен,2.9,19.4,52.8,390
Пирожное Картошка с карамельной начинкой,3.7,20.0,47.6,355
Пирожное Картошка с кремом,4.3,19.7,48.9,392
Пирожное Коктейль,2.0,13.8,59.5,384
Пирожное Корзиночка крем-брюле,2.8,21.5,46.2,392
Пирожное Корзиночка с белковым кремом,1.9,13.7,59.3,372
Пирожное Корзиночка с грибочками,1.0,27.5,54.9,461
Пирожное Корзиночка с клубничкой,1.2,22.4,55.8,434
Пирожное Корзиночка с фруктами,0.8,17.3,42.5,380
Пирожное Корзиночка со сливками и конфитюром,0.7,18.7,48.4,365
Пирожное Медвежонок Барни с шоколадной начинкой,5.8,15.2,59.1,390
Пирожное Орешек,5.8,16.5,49.1,397
Пирожное Песочное кольцо с орехами,4.8,9.2,55.3,420
Пирожное Полено,4.8,22.2,47.1,368
Пирожное Творожное кольцо,11.2,16.7,24.8,326
Пирожное Трубочка с кремом,1.7,25.2,50.9,454
Пирожное Эклер с кремом,3.2,30.8,36.2,439
Пирожок песочный с повидлом,5.9,21.1,56.3,437
Пита,7.4,0.8,49.9,242
Питайя,0.5,0.3,12.0,50
Пицца Casa Nostra Ассорти,11.4,8.5,29.8,261
Пицца Casa Nostra Ветчина-Сыр,8.5,7.2,29.6,235
Пицца Casa Nostra Грибы-Сыр,9.4,4.7,29.2,203
Пицца Ristorante Bolognese,8.7,9.5,22.9,213
Пицца Ristorante Calzone Speciale,11.2,13.9,21.9,258
Пицца Ristorante Formaggi and Pomodori,7.7,11.6,23.9,232
Пицца Ristorante Funghi,7.8,12.3,22.9,235
Пицца Ristorante Hawaii,8.6,8.6,25.7,215
Пицца Ristorante Mozzarella,10.5,13.6,24.3,262
Пицца Ristorante Pepperoni-Salame,10.1,14.1,25.8,272
Пицца Ristorante Piccola Mozzarella,10.0,12.7,22.8,246
Пицца Ristorante Piccola Salame,10.0,13.5,25.4,264
Пицца Ristorante Prosciutto,10.1,10.1,24.1,228
Пицца Ristorante Quattro Formaggi,10.8,14.0,24.1,267
Пицца Ristorante Salame,10.4,14.0,26.3,273
Пицца Ristorante Speciale,10.0,13.3,23.5,255
Пицца Ristorante Vegetale,6.7,9.1,22.2,198
Пишмание,3.3,12.0,83.3,455
Плетёнка с кунжутом,7.9,2.7,51.5,267
Плетёнка с маком,7.9,2.7,51.5,267
Плоды дерева ши (карите),0.0,0.0,0.0,
Плотва свежая,17.5,2.0,0.0,88
Плуот,1.2,0.1,11.0,57
Плюшка,7.6,8.8,56.4,334
Плюшка Московская,7.6,8.7,57.2,330
Повидло абрикосовое,0.3,0.0,64.0,242
Повидло апельсиновое,0.5,0.1,41.5,254
Повидло вишневое,0.5,0.1,95.4,250
Повидло грушевое,0.1,0.1,56.8,215
Повидло из киви,0.2,0.3,35.4,136
Повидло из крыжовника,1.0,0.0,46.0,181
Повидло из чёрной смородины,1.0,0.0,73.0,284
Повидло клубничное,0.5,0.1,61.5,244
Повидло малиновое,0.0,0.0,57.1,231
Повидло сливовое,0.6,0.5,73.6,285
Повидло яблочное,0.4,0.0,40.0,190
Подберёзовики свежие,2.3,0.9,3.7,31
Подберёзовики сушёные,23.5,9.2,14.3,231
Подорожник,0.4,0.1,7.0,26
Подосиновики свежие,3.3,0.5,3.7,22
Подосиновики сушёные,35.4,5.4,33.2,315
Подушечки хрустящие с молочной начинкой,7.6,15.5,66.2,435
Полба,14.7,2.2,61.2,337
Полбяная каша на воде,5.5,0.9,26.5,127
Полынь,1.5,0.0,5.0,25
Польский гриб,1.7,0.7,1.5,19
Помело,0.6,0.2,6.7,32
Пончик,5.6,13.0,38.8,296
Попкорн карамельный,5.3,8.7,76.1,401
Попкорн солёный,7.3,13.5,62.7,407
Попкорн сырный,5.8,30.8,50.1,506
Поросенок молочный,20.6,3.0,0.0,109
Портвейн,0.4,0.0,12.0,163
Портобелло жареные на гриле,4.3,0.8,2.7,35
Портобелло свежие,2.5,0.2,3.6,26
