name,protein,fats,carbs,calories
Смесь BSN Volumaize,0.0,0.0,67.8,271
Смесь CytoSport Fast Twich,13.0,0.0,65.2,304
Смесь Herbalife Протеиновая Формула 3,83.0,4.3,3.7,375
Смесь Multipower BCAA Powder,60.0,0.0,22.0,300
Смесь Multipower Muscle Effect,32.7,0.2,46.2,336
Смесь Muscletech Anotest Performance,0.0,0.0,14.3,357
Смесь Muscletech Cell Tech Hardcore Pro,0.0,0.0,77.0,360
Смесь Muscletech Cell Tech Performance,0.0,0.0,77.6,367
Смесь Muscletech Meso-Tech Complete,51.3,3.8,41.0,359
Смесь Nan Pre,14.5,26.0,53.6,501
Смесь Nan безлактозный,10.8,25.0,58.6,503
Смесь Nan-1,9.6,27.7,57.8,519
Смесь Nan-1 гипоаллергенный,9.7,26.0,59.9,513
Смесь Nan-1 кисломолочный,10.4,27.7,57.0,519
Смесь Nan-2,10.8,21.5,60.8,480
Смесь Nan-2 гипоаллергенный,11.1,22.7,61.3,494
Смесь Nan-2 кисломолочный,11.2,23.7,59.4,496
Смесь Neocate Advance сухая,10.0,14.5,58.5,400
Смесь Neocate LCP сухая,13.0,24.5,52.5,483
Смесь Nestogen-1 сухая адаптированная молочная с пребиотиками,10.5,26.0,55.7,499
Смесь Nestogen-2 сухая адаптированная молочная с пребиотиками,11.8,21.5,58.0,472
Смесь NutriniDrink Multi Fibre с нейтральным вкусом,3.4,6.8,18.8,153
Смесь NutriniDrink Multi Fibre со вкусом банана,3.3,6.8,18.8,153
Смесь NutriniDrink Multi Fibre со вкусом клубники,3.3,6.8,18.8,153
Смесь NutriniDrink Multi Fibre со вкусом шоколада,3.3,6.8,18.8,153
Смесь Optimum After Max,42.1,4.2,42.1,368
Смесь Optimum Pre-Load Creatine Complex,0.0,0.0,73.7,295
Смесь Pepticate сухая,14.0,27.3,53.4,515
Смесь PureProtein для приготовления блинов Protein Pancakes,35.0,2.7,43.9,340
Смесь Агуша Gold-1 молочная,11.0,28.0,56.0,520
Смесь Агуша Gold-2 молочная,12.4,22.5,60.0,490
Смесь Агуша Original-1 молочная,10.8,26.4,60.1,510
Смесь Агуша Original-2 молочная,11.8,22.5,60.1,490
Смесь Агуша-1 кисломолочная адаптированная жидкая,1.4,3.5,7.2,66
Смесь Агуша-1 молочная стерилизованная жидкая,1.4,3.4,7.4,66
Смесь Агуша-2 кисломолочная последующая адаптированная жидкая,1.8,3.4,9.0,70
Смесь Агуша-2 молочная стерилизованная жидкая,1.6,3.1,8.3,67
Смесь Грибной дуэт Планета Витаминов Маслята и Опята,5.7,4.7,9.8,20
Смесь для низкоуглеводной выпечки Пампушек.нет,36.0,11.8,0.8,260
Смесь для творожного пирога и запеканки Творопыш Dr.Oetker,0.5,0.0,87.8,353
Смесь из 3-х видов отрубей Myllyn Paras,16.6,6.1,34.1,255
Смесь мучная Черемуховый торт Гарнец,2.5,0.5,81.0,330
Смесь сиамская (тайская),10.9,3.2,38.3,255
Смесь хлебопекарская Зернопан,24.3,20.1,38.4,443
Сметана 10% (нежирная),3.0,10.0,2.9,115
Сметана 12%,2.7,12.0,3.9,133
Сметана 15% (маложирная),2.6,15.0,3.0,158
Сметана 18%,2.5,18.0,3.6,184
Сметана 20% (средней жирности),2.8,20.0,3.2,206
Сметана 25% (классическая),2.6,25.0,2.5,248
Сметана 30%,2.4,30.0,3.1,294
Сметана 40% (жирная),2.4,40.0,2.6,381
Сметана Простоквашино 15%,2.7,15.0,3.6,160
Смилакс (Сассапариль),0.0,0.0,0.0,
Смородина белая,0.5,0.2,8.0,42
Смородина красная,0.6,0.2,7.7,43
Смородина чёрная,1.0,0.4,7.3,44
Смородина чёрная 4 сезона,1.0,0.2,6.1,28
Смородина чёрная Hortex,1.3,0.2,7.0,51
Сморчки свежие,1.7,0.3,4.2,27
Снежок Домик в деревне продукт кисломолочный сладкий,2.9,2.5,10.0,74
Снеки Кинг Наггетс,16.0,16.7,15.2,275
Снеки Крылышки Кинг,21.8,13.7,2.6,221
Снеки Луковые колечки Бургер Кинг,5.2,13.3,38.1,293
Сода пищевая,0.0,0.0,0.0,
Соевая спаржа (Фучжу),42.0,19.0,12.0,387
Сок Бабушкино Лукошко Яблоко Брусника,0.0,0.0,10.0,40
Сок Бабушкино Лукошко Яблоко Ежевика,0.0,0.0,10.8,43
Сок Бабушкино Лукошко Яблоко Черника,0.0,0.0,10.8,43
Сок киви,0.0,0.3,10.0,41
Сок нони,0.1,0.3,10.0,44
Сок овощная смесь Золотая Русь,0.0,0.0,5.0,20
Сок овощная смесь Тонус Active,0.0,0.0,6.2,25
"Сок овощной Mr. Овощ с солью, сладким перцем и чесноком",0.0,0.0,5.0,20
Сок папайи,0.4,0.1,13.3,51
Сок петрушки,3.7,0.4,7.6,49
Сок Сады Придонья Яблоко-Шиповник,0.0,0.0,11.5,46
Сок Сады Придонья Яблочно-виноградный,0.0,0.0,11.5,46
Сок Сады Придонья Яблочно-персиковый с мякотью,0.0,0.0,11.5,50
Сок Сады Придонья Яблочный из зелёных яблок,0.0,0.0,11.5,46
