name,protein,fats,carbs,calories
Кета свежая,22.0,5.6,0.0,138
Кета соленая,24.3,9.6,0.0,184
Кетчуп,1.8,1.0,22.2,93
Кетчуп Heinz для гриля и шашлыка,0.9,0.0,23.4,97
Кетчуп Heinz острый,0.9,0.0,23.2,96
Кетчуп Heinz с чесноком и пряностями,1.1,0.0,24.1,101
Кетчуп Heinz супер острый,0.9,0.0,23.2,96
Кетчуп Heinz томатный,0.9,0.0,23.1,96
Кефаль отварная,19.0,4.3,0.0,115
Кефаль свежая,21.0,0.4,0.0,124
Кефаль чёрная (лобан),19.3,3.8,0.0,117
Кефир 0%,3.0,0.1,3.8,30
Кефир 1%,2.8,1.0,4.0,40
Кефир 1.5%,3.3,1.5,3.6,41
Кефир 2%,3.4,2.0,4.7,51
Кефир 2.5%,2.8,2.5,3.9,50
Кефир 3.2%,2.8,3.2,4.1,56
Кефир Агуша 3.2%,2.7,3.2,4.0,56
Кефирный продукт Био Баланс 0%,3.2,0.1,4.5,32
Кефирный продукт Био Баланс 1%,3.0,1.0,5.0,41
Кешью,18.5,48.5,22.5,600
Кешью жареный,17.5,42.2,30.5,572
Кивано,1.8,1.3,7.6,44
Киви,1.0,0.6,10.3,48
Кижуч,21.6,6.0,0.0,140
Кизил,1.0,0.0,10.5,44
Килька балтийская,14.1,9.0,0.0,137
Килька горячего копчения,21.3,8.5,0.0,162
Килька каспийская,18.5,13.1,0.0,191
Килька консервированная,12.0,11.0,3.1,159
Килька обжаренная в томатном соусе,14.0,12.0,4.5,182
Килька пряного посола,14.8,10.5,0.0,154
Килька соленая,17.1,7.6,0.0,137
Кимучи,1.4,0.7,8.4,45
Кинза,2.1,0.5,1.9,23
Кинза сушёная молотая,3.0,0.0,54.5,216
Киноа,14.1,6.1,57.2,368
Киноа Мистраль,14.0,6.0,64.0,368
Кинси маки,8.5,18.0,2.4,210
Кипрей (Иван-чай) сушеный,4.6,1.8,31.6,150
Кисель из вишневого сока,0.2,0.0,18.9,78
Кисель из клюквы,0.0,0.0,13.0,53
Кисель из кураги,0.4,0.0,12.9,54
Кисель из сливового варенья,0.1,0.0,15.5,63
Кисель из сушеных яблок,0.1,0.0,16.3,66
Кисель из яблок,0.1,0.1,23.7,97
Кисель Леовит Рецепт здоровья желудочный нейтральный,0.2,0.0,93.3,351
Кисель ФрутоНяня из клюквы,0.0,0.0,11.0,44
Кисель ФрутоНяня из малины,0.0,0.0,11.5,46
Кисломолочный напиток Агуша Я Сам! Иммунити,2.0,3.4,8.3,72
Кислородный коктейль Экотейль,7.0,0.0,83.0,360
Китовое мясо,22.5,3.2,0.0,119
Клейковина пшеничная (глютен),76.0,0.4,9.0,350
Клекачка колхидская (Джонджоли),2.4,0.9,1.7,23
Клементин,0.9,0.2,10.3,47
Клетчатка Агросельпром из молотых семян кунжута,50.7,19.8,11.0,425
Клетчатка Агросельпром из отрубей гречихи,15.5,4.3,64.5,343
Клетчатка Агросельпром из отрубей ржи,11.0,3.0,56.8,284
Клетчатка Агросельпром из семян льна,34.0,14.0,9.0,298
Клетчатка Агросельпром из ядер тыквенных семечек,27.0,10.0,19.0,274
Клетчатка мелкая,16.0,3.8,23.5,186
Клетчатка Сибирская,0.5,0.5,4.0,40
Клецки,5.0,4.8,25.8,160
Клубника,0.8,0.4,7.5,41
Клубника 4 сезона,0.8,0.1,6.6,34
Клубника Hortex,0.7,0.4,5.4,32
Клубника консервированная,0.6,0.3,16.1,65
Клубничный сок,0.6,0.4,7.0,31
Клыкач,14.4,16.1,0.0,202
Клюква,0.5,0.0,6.8,26
Клюква 4 сезона,0.5,0.2,3.9,18
Клюква Hortex,0.5,0.0,3.8,17
Клюква сушеная,0.1,1.4,76.5,308
Клюквенный сок,0.4,0.3,11.0,46
Княженика,0.0,0.0,7.0,26
Козинак Арахисовый,14.3,25.1,52.5,485
Козинак Кунжутный,12.1,28.9,52.4,510
Козинак Подсолнечный,14.8,42.6,34.5,576
Козлобородник,3.3,0.2,15.3,82
Козлятина,18.0,16.0,0.0,216
