name,protein,fats,carbs,calories
Перловая каша рассыпчатая,3.1,0.4,23.0,106
Перловая крупа,9.3,1.1,73.7,320
Перловая крупа Мистраль Барли,12.1,0.8,73.4,349
Персик,0.9,0.1,11.3,46
Персик сушёный,3.0,0.4,57.7,254
Персики консервированные,0.3,0.1,14.7,68
Персиковый компот,0.5,0.0,19.9,78
Персиковый нектар,0.2,0.0,9.0,38
Персиковый сок,0.9,0.1,9.5,40
Петрушка,3.7,0.4,7.6,47
Петрушка (корень),1.5,0.6,10.1,49
Петрушка сушеная,22.4,4.4,21.2,276
Печенье,7.5,11.8,74.9,417
Печенье MyProtein Cookie,51.0,13.2,27.0,427
Печенье Oreo Original,4.9,20.8,68.0,478
Печенье Wagon Wheels,5.1,15.6,66.9,431
Печенье Анзак,5.4,21.4,53.6,415
Печенье Грибочки,3.6,7.9,69.6,367
Печенье Деревенское,8.1,26.8,57.8,444
Печенье детское бегемотик Бонди с железом,8.4,11.5,70.0,403
Печенье детское бегемотик Бонди с йодом,8.4,11.5,70.0,403
Печенье детское бегемотик Бонди с кальцием,8.4,11.4,70.0,401
Печенье детское Расти большой овсяное,8.0,11.0,73.0,424
Печенье детское Расти большой с бананом,8.0,11.0,73.0,423
Печенье Кокосанка,7.0,22.7,64.2,479
Печенье Крекер,11.3,13.4,67.1,352
Печенье Курабье,6.7,25.8,64.6,516
Печенье Мария,8.7,8.8,70.9,400
Печенье Маркиза,7.3,29.3,68.9,568
Печенье миндальное,7.0,22.7,64.7,486
Печенье овсяное,6.5,14.4,71.8,437
Печенье Посиделкино овсяное с шоколадными кусочками,5.8,17.6,70.1,436
Печенье с ароматом топленого молока,7.2,26.5,63.0,519
Печенье Савоярди,8.5,3.8,76.6,378
Печенье сдобное,10.4,5.2,76.8,458
Печенье Слоёные ушки,6.4,29.0,57.0,520
Печенье Спартак с фруктозой,8.5,17.4,64.6,450
Печенье Хворост,8.8,3.7,42.5,283
Печенье Шакер бура,5.7,21.0,31.0,335
Печенье Шакер чурек,5.0,19.8,49.9,416
Печенье Юбилейное традиционное,7.6,19.5,65.5,465
Печенье Юбилейное утреннее с какао,8.8,17.1,70.0,447
Печеньице детское Heinz,8.5,8.5,79.0,427
Печеньице детское Heinz 6 злаков,8.5,8.5,79.0,427
Печеньице детское Heinz Какао,9.0,8.0,79.5,426
Пиво Asahi Super Dry,0.0,0.0,3.1,41
Пиво BagBier,0.0,0.0,4.6,42
Пиво Bavaria Premium Pilsener,0.0,0.0,3.8,42
Пиво Bernard Černe,0.0,0.0,4.7,48
Пиво Budweiser Budvar Original,0.0,0.0,3.0,44
Пиво Carlsberg,0.0,0.0,3.9,45
Пиво Efes Fusion,0.0,0.0,4.5,44
Пиво Efes Pilsener,0.0,0.0,4.7,46
Пиво Erdinger Weißbier,0.0,0.0,2.6,44
Пиво Franziskaner,0.0,0.0,2.5,46
Пиво Franziskaner Dunkel,0.0,0.0,2.5,46
Пиво Gambrinus Premium,0.0,0.0,4.4,44
Пиво Gold Mine Beer,0.0,0.0,4.6,42
Пиво Gold Mine Beer Fresh Lemon,0.0,0.0,5.5,43
Пиво Green Beer,0.0,0.0,3.1,49
Пиво Grolsh Premium,0.0,0.0,3.1,40
Пиво Guinness Draught,0.0,0.0,3.0,35
Пиво Guinness Extra Stout,0.0,0.0,3.0,44
Пиво Hacker-Pschorr,0.0,0.0,2.7,46
Пиво Hoegaarden,0.0,0.0,3.8,45
Пиво Holsten Premium,0.0,0.0,3.2,43
Пиво Kaltenberg,0.0,0.0,4.6,42
Пиво Kilkenny красное,0.0,0.0,2.9,41
Пиво Kronenbourg 1664,0.0,0.0,4.6,44
Пиво Kronenbourg 1664 Blanc,0.0,0.0,4.2,47
Пиво Krušovice Imperial,0.0,0.0,4.4,43
Пиво Krušovice Чёрное,0.0,0.0,3.9,36
Пиво MegaBier,0.0,0.0,4.6,42
Пиво Miller Genuine Draft,0.0,0.0,3.5,45
Пиво Paulaner Hefe-Weißbier,0.0,0.0,2.6,47
Пиво Pilsner Urquell,0.0,0.0,4.4,45
Пиво Staropramen,0.0,0.0,3.6,35
Пиво Stella Artois,0.0,0.0,4.7,46
Пиво Tuborg Black,0.0,0.0,3.3,41
Пиво Tuborg Green,0.0,0.0,4.6,42
