name,protein,fats,carb,calories,category
Крабовые палочки Мирамар,15.4,6.9,4.0,140,10
Крабовые палочки Санта Бремор Снежный краб,8.9,1.0,6.3,70,10
Крабы консервированные,18.7,1.1,0.1,85,10
Крабы отварные,16.0,3.6,0.0,96,10
Красноглазка,21.9,4.2,0.0,125,10
Краснопёрка,18.3,3.0,0.0,100,10
Креветки Polar Premium свежемороженые,17.0,1.2,1.0,80,10
Креветки консервированные,17.8,1.1,0.0,81,10
Креветки Королевские,18.3,1.2,0.8,87,10
Креветки маринованные,12.2,1.3,0.0,60,10
Креветки отварные,18.9,2.2,0.0,95,10
Креветки очищенные замороженные,14.0,1.0,0.0,60,10
Креветки свежие,22.0,1.0,0.0,97,10
Креветки Тигровые,19.2,0.6,0.0,89,10
Кукумария,7.3,0.6,0.0,35,10
Кумжа,16.7,3.6,0.0,104,10
Лангуст (мясо шеек),17.5,2.0,0.0,88,10
Лангустин,20.6,1.5,2.4,112,10
Ледяная рыба,17.7,2.2,0.0,90,10
Лемонема,15.9,0.4,0.0,67,10
Летрин,20.2,0.4,0.0,84,10
Летучая рыба,15.5,1.8,0.0,87,10
Лещ вяленый,42.0,5.9,0.0,221,10
Лещ горячего копчения,32.8,4.5,0.0,172,10
Лещ морской,21.3,6.4,0.0,105,10
Лещ отварной,20.9,4.7,0.0,126,10
Лещ свежий,17.1,4.1,0.0,105,10
Лещ холодного копчения,29.7,4.6,0.0,160,10
Лимонелла,17.6,1.0,0.0,79,10
Линь,7.0,1.8,0.0,40,10
Лобстер,18.8,0.9,0.5,90,10
Лососевый фарш,19.0,6.0,0.0,130,10
Лосось консервированный,20.6,6.3,0.0,144,10
Лосось копчёный,21.5,8.4,0.0,162,10
Лосось Королевский свежий,20.3,11.7,0.0,187,10
Лосось маринованный,21.0,17.0,0.0,237,10
Лосось с гриля,20.7,22.3,0.6,283,10
Лосось свежий,19.8,6.3,0.0,142,10
Лосось солёный,21.0,20.5,0.0,269,10
Лосось соте,21.1,31.4,4.1,379,10
Луфарь,19.7,3.4,0.0,109,10
Макрель,20.7,3.4,0.0,113,10
Макрурус,13.2,0.8,0.0,60,10
Марлин,20.1,3.6,0.0,112,10
Масляная рыба,18.8,4.2,0.0,112,10
Масляная рыба копченая,18.0,12.0,0.0,180,10
Махи-махи (корифена),18.5,0.7,0.0,85,10
Мерланг,17.5,2.0,0.0,88,10
Меч-рыба,19.7,6.7,0.0,144,10
Мидии жареные,11.2,1.6,0.0,59,10
Мидии консервированные,17.5,2.0,0.0,88,10
Мидии маринованные,7.0,1.1,7.2,67,10
Мидии отварные,9.1,1.5,0.0,50,10
Минога,17.5,2.0,0.0,88,10
Минога маринованная,17.5,2.0,0.0,88,10
Минтай (печень),6.0,50.0,0.0,474,10
Минтай (филе),16.0,1.0,0.0,72,10
Минтай в кляре,17.1,16.4,15.2,281,10
Минтай отварной,17.6,1.0,0.0,79,10
Минтай под маринадом,13.5,12.6,11.0,211,10
Минтай свежий,15.9,0.9,0.0,72,10
Мойва весенняя,13.1,7.1,0.0,116,10
Мойва жареная,20.0,30.3,4.2,369,10
Мойва копченая,18.0,22.0,0.0,270,10
Мойва маринованная,13.8,18.1,0.0,217,10
Мойва осенняя,13.6,18.1,0.0,217,10
Мойва свежая,13.4,11.5,0.0,157,10
Мойва соленая,13.6,18.1,0.0,217,10
Моллюски,16.7,1.1,0.0,77,10
Молоки рыбьи,16.0,2.9,0.0,90,10
Мольва (морская щука),18.9,0.6,0.0,87,10
Морепродукты,15.5,1.0,0.1,85,10
Морепродукты консервированные,10.0,1.7,1.3,61,10
Морепродукты Меридиан с заправкой для салата,10.2,1.6,2.9,65,10
Морская капуста,0.8,5.1,0.0,49,10
Морская капуста маринованная,1.0,5.0,3.0,61,10
Морская капуста сушеная,31.5,21.8,38.1,476,10
Морское ухо,16.7,1.1,0.0,77,10
Морской гребешок,17.0,2.0,3.0,92,10
Морской дракон,15.3,1.5,0.0,79,10
