name,protein,fats,carbs,calories,category
Айсинг,2.3,0.0,78.8,305,17
Батончик Corny Big злаковый с бананом и шоколадом,6.1,15.2,65.6,424,17
Батончик Corny Big злаковый с клюквой,5.9,7.4,71.4,377,17
Батончик Corny Big злаковый с лесными орехами,6.4,15.6,63.2,419,17
Батончик Corny Big злаковый с шоколадом,7.0,17.0,62.9,433,17
Батончик Nestle Fitness с цельными злаками и клубникой,5.8,6.7,68.9,369,17
Батончик мюсли Ego с бананом в шоколаде,5.0,13.5,68.0,416,17
Батончик мюсли Ego с вишней в йогурте,6.0,14.0,56.0,416,17
Батончик мюсли Ego с клубникой в йогурте,4.0,14.5,67.5,418,17
Батончик мюсли Ego с лесными ягодами в йогурте,4.0,13.5,69.5,418,17
Батончик мюсли Ego с черникой в йогурте,5.5,14.0,67.5,420,17
Батончик мюсли Tekmar клубника в йогурте,4.5,16.8,70.7,452,17
Батончик Пульсар с миндалем в шоколадной глазури,6.3,13.9,58.8,385,17
Батончик Сладкий мир фруктовый хлеб банановый,6.8,9.6,59.9,352,17
Батончик фруктовый Joyfield с абрикосом в шоколаде,9.8,0.6,72.3,352,17
Батончик фруктовый Joyfield с абрикосом и яблоком,3.7,0.3,74.8,282,17
Батончик фруктовый Joyfield с лимонником и папайей,4.1,0.3,77.0,302,17
Батончик фруктовый Joyfield с полевой клубникой,4.5,0.4,75.4,286,17
Батончик фруктовый Joyfield с черникой,4.5,0.4,73.3,273,17
Батончик фруктовый Joyfield с черносливом в шоколаде,7.8,1.0,67.7,340,17
Батончик фруктовый Joyfield с черносливом и ананасом,3.4,0.5,75.1,314,17
Батончик фруктовый Joyfield с черносливом и яблоком,2.1,0.5,70.2,280,17
Баурсак,6.8,2.6,45.8,234,17
Бисквитник Сдобная особа медовый с вареной сгущенкой,5.3,19.6,46.1,378,17
Бисквитник Сдобная особа с начинкой маракуйя,3.9,17.2,51.5,375,17
Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.3,18.3,48.5,378,17
Варенье из абрикосов,0.0,0.0,62.0,236,17
Варенье из айвы,0.4,0.2,70.6,273,17
Варенье из апельсинов,2.6,0.5,70.0,245,17
Варенье из брусники,0.2,0.1,64.6,244,17
Варенье из вишни,0.0,0.0,64.0,256,17
Варенье из груши,0.3,0.2,70.8,273,17
Варенье из дыни,0.3,0.1,44.7,197,17
Варенье из земляники,0.3,0.1,58.0,219,17
Варенье из инжира,0.0,0.0,62.0,236,17
Варенье из кабачков,0.3,0.1,48.9,196,17
Варенье из клубники,0.3,0.1,74.0,285,17
Варенье из лимонов,0.0,0.0,60.0,240,17
Варенье из малины,0.6,0.2,70.4,273,17
Варенье из мандаринов,0.7,0.2,75.9,294,17
Варенье из облепихи,0.7,3.7,34.4,165,17
Варенье из одуванчиков,0.6,0.1,48.0,191,17
Варенье из персиков,0.5,0.0,66.8,258,17
Варенье из ревеня,0.5,0.5,82.4,314,17
Варенье из сливы,0.4,0.3,74.2,288,17
Варенье из тёрна,0.0,0.0,62.0,248,17
Варенье из черники,0.4,0.2,56.1,214,17
Варенье из чёрной смородины,0.6,0.1,72.9,284,17
Варенье из черноплодной рябины,0.4,0.0,74.8,387,17
Варенье из яблок,0.4,0.3,68.2,265,17
Вафли венские с карамелью,8.1,19.4,53.3,424,17
Вафли венские со взбитыми сливками,4.8,23.3,50.5,489,17
Вафли с жирной начинкой,3.4,30.2,64.7,539,17
Вафли с фруктовой начинкой,3.2,2.8,80.9,350,17
Вафли Сдобная особа домашние с изюмом,7.9,21.7,55.8,452,17
Вафли Сдобная особа домашние сахарные,8.2,23.1,54.4,459,17
Вафли Сдобная особа мягкие с суфле классические,5.5,23.9,52.2,446,17
Вафли Сдобная особа мягкие с суфле со вкусом пломбира,5.5,23.9,52.2,446,17
Вафли Яшкино с карамельной начинкой,6.0,15.2,67.9,430,17
Галеты Nordic из овса с брусникой,9.0,14.0,61.0,420,17
Галеты Любятово классические,11.1,1.2,76.0,365,17
Ганаш,4.9,34.5,52.5,542,17
Ганаш белый,3.9,37.2,48.9,547,17
Ганаш шоколадный,4.9,34.5,52.5,542,17
Гематоген,6.0,3.0,75.7,354,17
Гематоген Русский детский,3.5,2.9,75.6,343,17
ГематогенКА,4.9,11.5,81.0,425,17
Десерт Alpro Soya ванильный,3.0,1.8,12.7,80,17
Десерт Konti Bonjour ванильный,4.0,20.1,63.6,443,17
Джезерье из граната,2.0,2.9,87.0,381,17
Джем апельсиновый,0.8,0.4,63.0,268,17
Джем банановый,0.1,0.0,59.2,215,17
Джем брусничный,0.8,0.7,59.0,250,17
Джем вишневый,0.0,0.0,56.5,226,17
Джем клубничный,0.0,0.0,65.0,272,17
Джем малиновый,0.7,0.4,23.9,106,17
Джем мандариновый,0.3,0.0,70.8,276,17
Джем персиковый,0.5,0.0,66.8,258,17
Джем сливовый,0.4,0.3,73.2,288,17
Джем черничный,0.4,0.2,53.1,214,17
