name,protein,fats,carb,calories,category
Капуста пак-чой,1.5,0.2,2.2,13,8
Капуста пекинская,1.2,0.2,2.0,16,8
Капуста романеско,2.5,0.3,4.2,30,8
Капуста романеско Бондюэль,2.9,0.5,2.2,25,8
Капуста савойская,1.2,0.1,6.0,28,8
Капуста цветная,2.5,0.3,5.4,30,8
Капуста цветная 4 сезона,2.5,0.3,4.6,31,8
Капуста цветная Hortex,2.2,0.2,2.3,24,8
Капуста цветная Бондюэль замороженная,1.6,0.2,3.9,14,8
Капуста цветная варёная,1.8,0.3,4.0,29,8
Капуста цветная жареная,3.0,10.0,5.7,120,8
Капуста цветная консервированная,2.5,0.3,4.2,28,8
Картофель,2.0,0.4,16.1,76,8
Картофель 4 сезона по-деревенски,2.5,4.0,23.5,130,8
Картофель 4 сезона фри,2.1,3.3,11.0,105,8
Картофель варёный,2.0,0.4,16.7,82,8
Картофель жареный,2.8,9.5,23.4,192,8
Картофель молодой,2.4,0.4,12.4,61,8
Картофель сладкий (батат),2.0,0.0,14.6,61,8
Картофель сушеный,6.6,0.3,71.6,298,8
Картофель фиолетовый,2.0,0.4,16.0,72,8
Картофельное пюре,2.5,4.2,14.7,106,8
Картофельное пюре быстрого приготовления сухое,10.5,3.8,75.3,337,8
Картофельные хлопья,7.0,1.1,83.0,369,8
Кинза,2.1,0.5,1.9,23,8
Кипрей (Иван-чай) сушеный,4.6,1.8,31.6,150,8
Клекачка колхидская (Джонджоли),2.4,0.9,1.7,23,8
Козлобородник,3.3,0.2,15.3,82,8
Колоказия съедобная,1.5,0.2,26.5,112,8
Крапива,2.6,0.3,5.2,33,8
Кресс-салат,2.3,0.1,1.3,11,8
Кукуруза 4 сезона сладкая в зёрнах,11.4,4.2,38.6,238,8
Кукуруза Hortex,3.6,1.4,19.3,111,8
Кукуруза Бондюэль золотистая,3.2,1.0,18.6,96,8
Кукуруза Бондюэль сладкая в зёрнах,3.3,2.3,14.7,93,8
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке,3.9,1.3,22.0,115,8
Кукуруза варёная,4.1,2.3,22.5,123,8
Кукуруза мини,3.1,1.6,21.8,114,8
Кукуруза сладкая в початках,3.5,2.8,15.6,101,8
Кукуруза сладкая консервированная,3.9,1.3,22.7,119,8
Купырь (кервель),3.2,0.3,7.3,45,8
Лаванда,4.0,0.7,0.2,23,8
Лагенария,0.6,0.0,3.4,15,8
Лебеда садовая сушеная,14.1,6.1,64.2,368,8
Лечо Бондюэль в томатном соусе замороженное,1.3,0.9,5.4,35,8
Листья алоэ,0.0,0.0,5.0,20,8
Листья амаранта,2.5,0.3,4.0,23,8
Листья винограда,5.6,2.1,6.3,93,8
Листья винограда консервированные,4.3,2.0,11.7,69,8
Листья вишни,0.0,0.0,0.1,1,8
Листья карри,16.8,8.3,17.5,203,8
Листья смородины,0.1,0.0,0.1,1,8
Листья хрена,9.4,1.4,6.2,64,8
Лоби 4 сезона зелёный нарезанный,3.1,0.3,3.1,28,8
Лопух (репейник) корень,1.5,0.1,14.0,72,8
Лопух (репейник) листья,1.8,0.2,3.7,19,8
Лук душистый джусай,1.4,0.2,8.2,41,8
Лук зелёный,1.3,0.0,4.6,19,8
Лук красный,1.4,0.0,9.1,42,8
Лук красный маринованный,0.9,0.1,2.8,19,8
Лук маринованный,0.9,0.1,2.8,19,8
Лук порей,2.0,0.0,8.2,33,8
Лук репчатый,1.4,0.0,10.4,47,8
Лук репчатый 4 сезона нарезанный,1.2,0.2,8.6,38,8
Лук репчатый сушеный,8.4,2.8,42.6,219,8
Лук-шалот,2.5,0.1,16.8,72,8
Любисток,3.7,0.4,7.6,20,8
Люффа,1.2,0.2,4.4,20,8
Люцерна,0.2,0.7,4.0,23,8
Мангольд,1.8,0.2,3.7,19,8
Маслины,2.2,10.5,5.1,166,8
Маслины Бондюэль с косточкой / без косточки,0.8,10.7,6.3,115,8
Мать-и-мачеха,0.0,0.0,0.0,1,8
Маш-салат,1.1,0.0,3.5,23,8
Мелисса лекарственная,3.7,0.4,8.0,49,8
Мелотрия (Африканский огурец),0.8,0.1,2.5,14,8
Микрозелень,2.6,0.1,5.0,31,8
Мирпуа,1.8,0.0,7.8,38,8
Момордика (Индийский огурец),0.8,0.1,3.0,15,8
Морковная ботва,0.6,0.1,5.3,35,8
