name,protein,fats,carb,calories,category
Акула катран,19.9,7.0,0.0,142,10
Акульи плавники,21.0,4.8,0.0,130,10
Амур белый,18.6,5.3,0.0,134,10
Амур чёрный,17.5,2.0,0.0,88,10
Анчоус атлантический,20.1,6.1,0.0,135,10
Анчоусная паста,26.0,16.0,4.0,280,10
Анчоусы консервированные,20.1,6.1,0.0,135,10
Аргентина,17.6,2.0,0.0,88,10
Барабулька (султанка),19.4,3.8,0.0,117,10
Белоглазка,17.5,2.0,0.0,88,10
Белорыбица,17.5,2.0,0.0,88,10
Белуга бланшированная,23.3,15.6,0.0,234,10
Белуга свежая,21.0,0.7,0.0,147,10
Белуга сушеная,69.9,5.3,0.0,327,10
Бельдюга,17.5,2.0,0.0,88,10
Берикс,20.3,0.8,0.0,88,10
Бестер,21.0,0.7,0.0,147,10
Бопс (Полосатик),15.3,1.5,0.0,79,10
Бротола,19.4,1.6,0.0,92,10
Бычки в томатном соусе,17.5,2.0,0.0,88,10
Бычок,17.5,2.0,0.0,88,10
Венерка,14.7,1.0,3.6,86,10
Визига,1.2,0.1,6.0,28,10
Вобла вяленая,46.4,5.5,0.0,235,10
Вобла копчёная,31.1,6.3,0.0,181,10
Вобла свежая,18.0,2.8,0.0,97,10
Водоросли бурые,1.7,0.6,8.3,43,10
Водоросли зелёные,1.5,0.0,5.0,25,10
Водоросли красные,1.5,0.0,5.0,25,10
Водоросль вакаме,3.0,0.6,8.6,45,10
Водоросль далс,1.5,0.0,5.0,25,10
Водоросль ирландский мох (карраген),1.5,0.2,11.0,49,10
Водоросль кантен,0.5,0.0,6.3,26,10
Водоросль комбу,8.3,8.3,10.0,77,10
Водоросль лиму,1.7,0.2,4.3,25,10
Водоросль нори,46.1,0.1,41.0,349,10
Водоросль порфира,5.8,0.3,4.8,35,10
Водоросль спирулина,4.2,2.5,9.9,79,10
Водоросль ульва,1.9,0.0,3.8,25,10
Водоросль уми будо,1.5,0.4,4.8,25,10
Водоросль фукус,3.0,0.6,8.6,35,10
Гладкоголов,8.0,1.9,0.0,49,10
Голавль,17.8,5.6,0.0,127,10
Голец,22.4,5.7,0.0,135,10
Горбуша горячего копчения,23.2,7.6,0.0,161,10
Горбуша жареная в кляре,17.1,16.4,15.2,281,10
Горбуша запеченная в шубе,13.2,13.1,3.2,184,10
Горбуша маринованная,20.9,5.8,0.0,136,10
Горбуша натуральная Русский рыбный мир,21.0,6.0,0.0,138,10
Горбуша отварная,22.9,7.8,0.0,168,10
Горбуша свежая,20.5,6.5,0.0,142,10
Горбуша солёная,22.1,9.0,0.0,169,10
Горбыль,22.5,6.3,0.0,153,10
Групер (мероу),24.8,1.3,0.0,118,10
Густера,15.1,2.4,0.0,97,10
Дорадо,18.0,3.0,0.0,96,10
Ёрш,17.5,2.0,0.0,88,10
Желтохвост (лакедра),21.0,16.0,0.0,240,10
Желтый полосатик,17.5,2.0,0.0,88,10
Желтый полосатик сушеный,50.0,7.5,0.0,267,10
Жерех,18.8,2.6,0.0,98,10
Зубан,18.8,6.3,0.0,131,10
Зубатка жареная,22.2,11.5,4.1,209,10
Зубатка запеченная,7.4,8.8,6.8,137,10
Зубатка отварная,15.5,5.8,0.0,114,10
Зубатка пёстрая,19.6,5.3,0.0,126,10
Зубатка полосатая,16.0,5.0,0.0,109,10
Икра,36.0,10.2,0.0,123,10
Икра белужья зернистая,27.2,14.2,0.0,237,10
Икра виноградных улиток,16.1,1.4,2.0,90,10
Икра горбуши зернистая,31.2,11.7,0.0,230,10
Икра жёлтая (частиковая),17.5,2.0,0.0,88,10
Икра из морских водорослей Здоровье (красная),0.4,2.0,2.5,30,10
Икра из морских водорослей Здоровье (черная),0.4,2.5,4.0,40,10
Икра искусственная,1.0,5.0,2.6,64,10
Икра кеты зернистая,31.6,13.8,0.0,251,10
Икра консервированная,19.0,11.0,1.0,179,10
Икра летучей рыбы (тобико),13.0,3.1,10.0,92,10
Икра лещевая пробойная,24.7,4.8,0.0,142,10
Икра лососевая зернистая,32.0,15.0,0.0,263,10
