name,protein,fats,carb,calories,category
Ангурия (Антильский огурец),1.8,1.3,7.6,44.0,8
Арракача,0.9,0.1,17.1,60.0,8
Артишок,1.2,0.1,6.0,28.0,8
Ассорти Бондюэль из сладкого перца,1.1,0.2,4.8,25.0,8
Ассорти Бондюэль из фасоли с ананасами в соусе Карри,3.8,1.1,9.3,62.0,8
Ассорти Бондюэль из цветной капусты романеско и брокколи,1.8,2.7,8.6,66.0,8
Баклажан,1.2,0.1,4.5,24.0,8
Баклажан консервированный,0.9,0.7,7.3,49.0,8
Баклажанная икра консервированная,1.7,13.3,5.1,148.0,8
Баклажанная икра свежая,0.6,7.0,6.0,90.0,8
Баклажаны 4 сезона запечённые порционные,2.1,0.2,8.9,48.0,8
Баклажаны 4 сезона нарезанные,1.3,0.1,5.2,27.0,8
Бамбук листья,2.0,0.0,4.0,32.0,8
Бамбук побеги вареные,1.5,0.2,0.9,12.0,8
Бамбук побеги консервированные,1.7,0.4,1.8,19.0,8
Бамбук побеги сырые,2.6,0.3,3.0,27.0,8
Бамия,2.0,0.1,3.8,25.0,8
Бамия 4 сезона,0.2,0.1,8.0,23.0,8
Бедренец камнеломка,0.0,0.0,0.0,,8
Бессмертник,0.2,0.0,5.0,27.0,8
Бобы,6.0,0.1,8.5,57.0,8
Бобы зелёные,6.0,0.1,10.5,60.0,8
Брюква,1.2,0.1,7.7,37.0,8
Брюква запечённая,2.1,1.6,7.5,51.0,8
Брюква тушеная,1.2,8.5,8.6,114.0,8
Вигна,3.0,0.4,18.8,90.0,8
Горох варёный,6.0,0.0,9.0,60.0,8
Горох колотый Агро-Альянс,23.0,1.0,62.0,350.0,8
Горох лущеный,23.0,1.6,57.7,323.0,8
Горох маш,23.5,2.0,46.0,300.0,8
Горох маш (ростки),3.1,0.2,6.0,30.0,8
Горох маш Ярмарка Платинум,23.5,2.0,50.0,312.0,8
Горох Мистраль Айдахо,20.8,1.4,55.2,317.0,8
Горох Мистраль Орегон,20.0,1.5,66.4,327.0,8
Горох Пассим колотый,23.0,1.6,48.1,299.0,8
Горох сушёный,20.5,2.0,53.3,298.0,8
Горошек зелёный,5.0,0.2,13.8,73.0,8
Горошек зелёный 4 сезона,5.1,0.2,13.1,75.0,8
Горошек зелёный Globus,5.5,0.7,7.4,74.0,8
Горошек зелёный Hortex,6.4,0.4,10.5,83.0,8
Горошек зелёный Бондюэль замороженный,6.9,0.4,19.4,85.0,8
Горошек зелёный Бондюэль Нежный,4.8,0.2,7.5,52.0,8
Горошек зелёный Бондюэль с молодой морковью,3.3,0.5,9.3,54.0,8
Горошек зелёный Бондюэль с морковью в кубиках,3.0,0.2,10.0,53.0,8
Горошек зелёный замороженный,6.4,0.4,16.3,72.0,8
Горошек зелёный Каждый день замороженный,5.0,0.2,8.5,55.0,8
Горошек зелёный консервированный,3.6,0.1,9.8,55.0,8
Гулявник лекарственный,0.3,0.0,5.0,21.0,8
Дайкон,1.2,0.0,4.1,21.0,8
Девясил,2.9,0.0,0.2,15.0,8
Зелень,2.6,0.4,5.2,36.0,8
Зразы картофельные от Ильиной с грибами,2.0,1.0,13.0,70.0,8
Зразы картофельные от Ильиной с капустой,3.3,3.9,15.0,108.0,8
Кабачки 4 сезона нарезанные,0.6,0.3,5.3,26.0,8
Кабачковая икра,1.2,7.0,7.4,97.0,8
Кабачок,0.6,0.3,4.6,24.0,8
Кабачок жареный,1.1,6.0,6.7,88.0,8
Кабачок консервированный,0.4,0.1,4.9,22.0,8
Каперсы,0.8,0.1,2.6,14.0,8
Каперсы консервированные,2.4,0.9,1.7,24.0,8
Каперсы маринованные,2.4,0.9,1.7,24.0,8
Капуста белокочанная,1.8,0.1,4.7,27.0,8
Капуста белокочанная жареная,1.8,2.8,4.2,49.0,8
Капуста белокочанная сушеная,15.0,1.4,48.0,278.0,8
Капуста брокколи,3.0,0.4,5.2,28.0,8
Капуста брокколи 4 сезона,2.5,0.3,4.6,31.0,8
Капуста брокколи Hortex,2.7,0.4,2.4,29.0,8
Капуста брокколи Бондюэль замороженная,2.7,0.1,4.9,23.0,8
Капуста брокколи варёная,3.0,0.4,4.0,27.0,8
Капуста брокколи замороженная,2.7,0.4,4.7,24.0,8
Капуста брюссельская,4.8,0.0,8.0,43.0,8
Капуста брюссельская 4 сезона,4.8,0.3,3.1,36.0,8
Капуста брюссельская Hortex,4.5,0.5,3.2,46.0,8
Капуста брюссельская Бондюэль замороженная,4.0,0.5,8.0,31.0,8
Капуста брюссельская замороженная,4.5,0.5,8.4,36.0,8
Капуста кале,3.3,0.7,8.0,50.0,8
Капуста квашеная,1.8,0.1,4.4,19.0,8
Капуста кольраби,2.8,0.0,10.7,42.0,8
Капуста консервированная,1.3,0.1,3.6,23.0,8
Капуста краснокочанная,0.8,0.0,7.6,24.0,8
