name,protein,fats,carbs,calories,category,24
Салат Фунчоза готовый,0.2,3.5,6.4,82,24
Салат Чешский готовый,14.0,9.0,3.4,149,24
Свекла с орехами готовая,3.2,20.0,8.6,225,24
Свекла с сыром готовая,1.9,13.4,9.1,162,24
Сельдь под шубой готовая,5.1,16.2,7.3,193,24
Семга под шубой готовая,18.0,24.5,4.3,310,24
