name,protein,fats,carb,calories,category
Морковные палочки,1.0,0.0,6.0,29,8
Морковный жмых,0.6,0.1,4.5,20,8
Морковь,1.3,0.1,6.9,32,8
Морковь Бондюэль молодая целая,0.8,0.5,5.0,27,8
Морковь Бондюэль молодая Экстра,0.5,0.7,4.2,25,8
Морковь варёная,0.8,0.3,5.0,25,8
Морковь жёлтая,1.3,0.1,7.2,33,8
Морковь квашеная,1.3,0.1,4.5,26,8
Морковь консервированная,0.6,0.1,3.6,23,8
Морковь пассерованная,0.9,10.2,8.5,127,8
Морковь сушеная,7.8,0.6,49.2,221,8
Морковь фиолетовая,1.3,0.1,6.9,35,8
Нут,19.0,6.0,61.0,364,8
Нут Fresh Food отварной,9.0,0.0,19.0,140,8
Нут Агро-Альянс,19.9,5.2,65.9,390,8
Нут Бондюэль На пару,6.4,2.2,14.7,120,8
Нут вареный,8.3,1.9,19.3,127,8
Нут Ярмарка Платинум,20.1,4.3,55.1,320,8
Овощи,2.5,0.1,5.0,31,8
Овощи Бондюэль для супа из шампиньонов,0.3,0.3,6.0,22,8
Овощи для жарки Hortex,2.1,1.7,8.5,63,8
Овощи для жарки Hortex с приправой по-восточному,2.2,0.3,4.5,37,8
Овощи для жарки Hortex с приправой по-итальянски,2.4,0.5,6.7,47,8
Овощи для жарки Hortex с пряными травами и перцем,2.1,1.5,11.1,71,8
Овощи для жарки Hortex с рисом и шампиньонами,2.8,0.4,10.0,60,8
Овощи для жарки Hortex с укропом,2.2,1.5,8.4,61,8
Овощи для жарки Краски лета,2.4,0.0,10.8,53,8
Овощная смесь 4 сезона Весенние овощи,2.9,0.3,10.0,54,8
Овощная смесь 4 сезона Восточная,2.7,0.4,7.5,44,8
Овощная смесь 4 сезона Гавайская,3.7,1.2,24.8,125,8
Овощная смесь 4 сезона Грибное жаркое с гречкой,4.3,0.9,15.9,85,8
Овощная смесь 4 сезона Грибы с картошкой,2.0,0.5,7.4,40,8
Овощная смесь 4 сезона Гювеч,1.4,0.1,5.2,51,8
Овощная смесь 4 сезона Итальянская,5.4,0.9,22.0,114,8
Овощная смесь 4 сезона Калифорния,7.6,1.6,42.6,154,8
Овощная смесь 4 сезона Китайская,2.3,1.2,3.9,34,8
Овощная смесь 4 сезона Летние овощи,3.5,0.3,7.5,47,8
Овощная смесь 4 сезона Лечо,1.2,0.1,5.3,27,8
Овощная смесь 4 сезона Мексиканская,3.4,0.9,16.4,87,8
Овощная смесь 4 сезона Мусака,1.5,0.2,8.1,40,8
Овощная смесь 4 сезона Овощи для жарки с шампиньонами,4.9,1.2,2.1,39,8
Овощная смесь 4 сезона Овощи по-деревенски,5.4,1.7,26.1,141,8
Овощная смесь 4 сезона Овощи с гречкой,3.5,0.8,16.8,84,8
Овощная смесь 4 сезона Овощное рагу,0.5,0.1,3.8,38,8
Овощная смесь 4 сезона Паприкаш,3.5,0.1,8.9,51,8
Овощная смесь 4 сезона Паста с лесными грибами,0.1,0.9,16.0,84,8
Овощная смесь 4 сезона Сибирская,2.6,0.5,10.7,58,8
Овощная смесь 4 сезона Скандинавская,2.8,0.3,5.9,38,8
Овощная смесь 4 сезона Столичный салат,1.8,0.2,12.1,57,8
Овощная смесь Hortex mexico,3.6,0.4,7.5,56,8
Овощная смесь Hortex vip,1.9,0.4,5.4,39,8
Овощная смесь Hortex брокколи,1.9,0.3,3.1,28,8
Овощная смесь Hortex брокколи и цветная,2.5,0.3,2.4,27,8
Овощная смесь Hortex весенние овощи,2.8,0.3,3.9,37,8
Овощная смесь Hortex восточное блюдо,1.6,0.2,3.2,27,8
Овощная смесь Hortex гавайская,3.7,0.6,18.5,100,8
Овощная смесь Hortex картофель по-деревенски,1.3,0.3,5.5,34,8
Овощная смесь Hortex кус-кус,2.1,0.2,4.6,34,8
Овощная смесь Hortex летние овощи,2.6,0.2,4.2,36,8
Овощная смесь Hortex лечо,1.1,0.3,3.0,22,8
Овощная смесь Hortex овощи по-деревенски,1.8,0.3,7.3,44,8
Овощная смесь Hortex овощи по-домашнему,1.3,0.3,3.9,28,8
Овощная смесь Hortex паприкаш,1.3,0.2,2.9,22,8
Овощная смесь Hortex рагу,1.3,0.2,2.3,19,8
Овощная смесь Hortex рататуй,1.1,0.2,2.6,19,8
Овощная смесь Бондюэль Весенняя,2.6,0.5,4.5,35,8
Овощная смесь Бондюэль для жарки Гавайская,3.0,0.5,22.7,91,8
Овощная смесь Бондюэль для жарки Индонезийская,1.8,0.0,7.8,38,8
Овощная смесь Бондюэль для жарки Китайская,2.5,0.4,11.7,61,8
Овощная смесь Бондюэль для жарки По-деревенски,1.7,4.6,4.4,65,8
Овощная смесь Бондюэль для жарки Полевая,2.0,0.4,3.3,25,8
Овощная смесь Бондюэль для жарки с рисом и шампиньонами,2.5,0.3,14.7,58,8
Овощная смесь Бондюэль Китайская,1.3,0.2,3.2,19,8
Овощная смесь Бондюэль Летняя в сливочном соусе,2.0,2.8,9.3,70,8
Овощная смесь Бондюэль Маседуан,2.2,0.3,7.9,43,8
Овощная смесь Бондюэль Мексиканская,3.6,0.7,12.7,72,8
Овощная смесь Бондюэль Минестрон,1.9,0.7,11.8,51,8
Овощная смесь Бондюэль Царская,1.4,0.3,5.1,20,8
Овощная смесь Свой урожай Американская,2.5,0.2,8.4,46,8
Овощное рагу 4 сезона,0.5,0.1,3.8,38,8
