name,protein,fats,carbs,calories,category
Пиво Velkopopovický Kozel Premium,0.0,0.0,4.3,43,21
Пиво Velkopopovický Kozel Světlý,0.0,0.0,3.4,36,21
Пиво Zatecky Gus,0.0,0.0,3.6,41,21
Пиво Арсенальное Живое,0.0,0.0,3.9,39,21
Пиво Арсенальное Классическое,0.0,0.0,3.7,41,21
Пиво Арсенальное Крепкое,0.0,0.0,4.0,57,21
Пиво Арсенальное Традиционное,0.0,0.0,3.8,45,21
Пиво Арсенальное Экстра Крепкое,0.0,0.0,4.3,65,21
Пиво Балтика LITE,0.0,0.0,3.5,37,21
Пиво Балтика Кулер,0.0,0.0,3.4,41,21
Пиво Балтика Кулер Лайм,0.0,0.0,3.4,41,21
Пиво Балтика №1 Легкое,0.0,0.0,4.8,39,21
Пиво Балтика №2 Светлое,0.0,0.0,3.4,41,21
Пиво Балтика №3 Классическое,0.0,0.0,4.8,42,21
Пиво Балтика №4 Оригинальное,0.0,0.0,4.8,54,21
Пиво Балтика №5 Золотое,0.0,0.0,3.0,45,21
Пиво Балтика №6 Портер,0.0,0.0,4.9,61,21
Пиво Балтика №7 Экспортное,0.0,0.0,3.4,45,21
Пиво Балтика №8 Пшеничное,0.0,0.0,3.4,45,21
Пиво Балтика №9 Крепкое,0.0,0.0,3.7,60,21
Пиво Белый медведь Светлое,0.0,0.0,4.6,42,21
Пиво Большая кружка Крепкое,0.0,0.0,4.8,54,21
Пиво Большая кружка Янтарное,0.0,0.0,3.4,34,21
Пиво Брама,0.0,0.0,4.5,45,21
Пиво Волга Янтарное Специальное,0.0,0.0,4.7,46,21
Пиво Жигулевское,0.0,0.0,4.6,42,21
Пиво Золотая бочка Классическое,0.0,0.0,4.0,45,21
Пиво Золотая бочка Разливное,0.0,0.0,4.1,48,21
Пиво Золотая бочка Светлое,0.0,0.0,4.6,42,21
Пиво Клинское Мохито,0.0,0.0,4.6,42,21
Пиво Клинское Светлое,0.0,0.0,4.6,42,21
Пиво Невское ICE,0.0,0.0,4.6,42,21
Пиво Невское Живое,0.0,0.0,4.2,45,21
Пиво Невское Классическое,0.0,0.0,4.7,46,21
Пиво Невское Оригинальное,0.0,0.0,5.3,50,21
Пиво Невское Светлое,0.0,0.0,4.6,42,21
Пиво Оболонь Lager,0.0,0.0,4.0,45,21
Пиво Оболонь Бархатное,0.0,0.0,4.9,53,21
Пиво Оболонь Белое,0.0,0.0,3.4,43,21
Пиво Оболонь Премиум,0.0,0.0,3.3,45,21
Пиво Оболонь Пшеничное,0.0,0.0,4.0,47,21
Пиво Оболонь Светлое,0.0,0.0,3.3,41,21
Пиво портер,0.0,0.0,4.9,61,21
Пиво светлое,0.3,0.0,4.6,42,21
Пиво светлое 1.8%,0.2,0.0,4.3,29,21
Пиво светлое 2.8%,0.6,0.0,4.8,37,21
Пиво светлое 4.5%,0.6,0.0,3.8,45,21
Пиво светлое живое,0.0,0.0,3.7,3,2
Пиво Сибирская корона Золотистое,0.0,0.0,3.9,39,21
Пиво Сибирская корона Классическое,0.0,0.0,4.7,46,21
Пиво Сибирская корона Лаймъ,0.0,0.0,4.6,42,21
Пиво Славутич Ice,0.0,0.0,4.6,42,21
Пиво Славутич Премиум,0.0,0.0,4.6,45,21
Пиво Славутич Светлое,0.0,0.0,4.6,42,21
Пиво Сокол Кола,0.0,0.0,4.8,48,21
Пиво Старый мельник Золотое,0.0,0.0,4.7,46,21
Пиво Старый мельник Из бочонка,0.0,0.0,4.7,46,21
Пиво Старый мельник Из бочонка мягкое,0.0,0.0,3.9,38,21
Пиво тёмное,0.3,0.0,5.7,48,21
Пиво эль,0.0,0.0,2.9,41,21
Пиво Ярпиво Крепкое,0.0,0.0,5.8,54,21
Пиво Ярпиво Ледяное,0.0,0.0,4.6,42,21
Пиво Ярпиво Оригинальное,0.0,0.0,4.6,42,21
Пиво Ярпиво Светлое,0.0,0.0,4.2,38,21
Пиво Ярпиво Хлебное,0.0,0.0,4.1,43,21
Пиво Ярпиво Янтарное,0.0,0.0,4.7,46,21
Портвейн,0.4,0.0,12.0,163,21
Пунш,0.0,0.0,30.0,260,21
Ром,0.0,0.0,0.0,220,21
Саке,0.5,0.0,5.0,134,21
Самогон,0.1,0.1,0.4,235,21
Сангрия,0.3,0.1,22.6,173,21
Сбитень,0.2,0.7,13.5,58,21
Сидр,0.2,0.3,28.9,117,21
Сливовица,0.1,0.1,0.5,302,21
Спирт этиловый 96%,0.0,0.0,3.8,710,21
Текила,1.4,0.3,24.0,231,21
Ханшин,0.1,0.0,0.2,235,21
Ципуро,0.1,0.1,0.4,235,21
Чача,0.1,0.1,0.5,225,21
Шампанское,0.2,0.0,5.0,88,21
Шампанское Вдова Клико,0.1,0.0,0.2,55,21
Шампанское Дом Периньон,0.2,0.0,5.0,88,21
Шнапс,0.0,0.0,4.0,200,21
Энергетический напиток Jaguar,0.0,0.0,11.5,87,21
Энергетический напиток Jaguar Gold,0.0,0.0,11.4,87,21
Энергетический напиток Jaguar Light,0.0,0.0,11.5,79,2
Биойогурт Тёма Груша-яблоко,3.2,2.8,11.6,84,30
Биойогурт Тёма Зеленое яблоко,3.2,2.8,11.7,85,30
Биойогурт Тёма Лесные ягоды,3.2,2.8,11.5,84,30
Биойогурт Тёма Шиповник-малина,3.2,2.8,12.0,86,30
Биокефир Агуша 3.2%,2.7,3.2,4.0,56,30
Биокефир Тёма детский 3.2%,2.8,3.2,4.1,56,30
Биотворог Тёма c черникой,7.9,4.2,10.3,111,30
Биотворог Тёма c черносливом,7.9,4.2,10.1,110,30
Биотворог Тёма классический,9.1,5.0,3.5,95,30
Биотворог Тёма с абрикосом,7.9,4.2,10.4,111,30
Биотворог Тёма с яблоком и морковью,7.9,4.2,10.0,109,30
Борщик Heinz с говядинкой,11.3,6.7,67.0,374,30
Вермишелька Heinz звездочки Любопышки,10.3,1.3,78.6,367,30
Гречневая каша Nestle безмолочная,11.0,3.0,76.5,377,30
Гречневая каша Nestle безмолочная с черносливом,11.0,3.0,76.5,377,30
Гречневая каша Nestle молочная,14.0,10.0,66.0,410,30
Гречневая каша Nestle молочная с курагой,14.0,10.0,66.0,410,30
Гречневая каша Малютка безмолочная,11.4,2.7,76.3,375,30
Гречневая каша Малютка молочная с черносливом,12.8,12.4,67.1,431,30
Гречневая каша ФрутоНяня безмолочная с яблоком,0.7,0.0,15.0,63,30
Гречневая кашка Heinz грушка абрикос смородинка молочная,12.0,2.9,76.2,379,30
Гречневая кашка Heinz низкоаллергенная без молока,9.5,1.6,74.0,350,30
Гречневая кашка ФрутоНяня молочная жидкая с яблоком,2.0,1.9,9.6,62,30
Зерновая каша Hipp с фруктами,0.8,0.1,15.9,71,30
Зерновая каша Hipp с яблоками и бананами,0.8,0.1,14.1,64,30
Йогурт Агуша вязкий с бананом 2.7%,3.0,2.7,12.0,88,30
Йогурт Агуша детский натуральный 2.9%,3.0,2.9,10.4,80,30
Йогурт Агуша детский с черносливом 2.6%,2.8,2.6,11.8,82,30
Йогурт Агуша питьевой натуральный 3.1%,3.2,3.1,3.7,58,30
Йогурт Агуша питьевой с персиком 2.7%,2.8,2.7,10.7,81,30
Йогурт Агуша питьевой с черносливом 2.7%,2.8,2.7,10.7,81,30
Йогурт Здрайверы клубника 2.5%,2.8,2.5,13.3,90,30
Йогурт Здрайверы мультифрукт 2.5%,2.8,2.5,10.5,76,30
Йогурт Здрайверы персик-злаки 2.5%,2.8,2.5,14.0,90,30
Йогурт Здрайверы яблоко-банан 2.5%,2.8,2.5,14.0,90,30
Йогурт Растишка с бананом и печеньем,3.8,3.0,16.5,108,30
Йогурт Растишка с земляникой,2.9,1.6,15.6,88,30
Йогурт Растишка с клубникой и печеньем,3.8,3.0,16.5,108,30
Йогурт Растишка с лесными ягодами,2.9,1.6,15.6,88,30
