"categ_name"
"Грибы"
"Колбасные изделия"
"Крупы и каши"
"Масла и жиры"
"Молочные продукты"
"Мука и мучные изделия"
"Мясные продукты"
"Овощи и зелень"
"Орехи и сухофрукты"
"Рыба и морепродукты"
"Снеки"
"Сыры и творог"
"Фрукты"
"Хлебобулочные изделия"
"Ягоды"
"Яйца"
"Кондитерские изделия"
"Мороженое"
"Торты"
"Шоколад"
"Напитки алкогольные"
"Напитки безалкогольные"
"Соки и компоты"
"Салаты"
"Первые блюда"
"Burger King"
"KFC"
"McDonalds"
"Японская кухня"
"Детское питание"
"Спортивное и другое питание"
"Сырьё и приправы"
